year,province,eff,z_score,spatial_lag,local_moran_i,local_p_value,local_z_value,quadrant,cluster,is_significant
2018,福建,0.4109125185685708,-0.40252824205697757,-0.22948820315853471,0.09237548299021951,0.2107,1.2686482471364444,LL,NS,0
2018,贵州,0.3454913899152027,-0.7218550887234844,-0.36646956527612556,0.2645379205568544,0.0634,1.7751294211884816,LL,LL,1
2018,辽宁,0.3535199805461939,-0.6826667625337207,0.018108230723222853,-0.0123618872430362,0.9729,-0.05596458367568978,LH,NS,0
2018,重庆,0.4638285330337155,-0.14424006536035056,-0.3618256999954243,0.052189762616394596,0.2405,1.1660142892596441,LL,NS,0
2018,陕西,0.3699216684108768,-0.6026085401574569,-0.27363066601389646,0.1648921761889468,0.3284,0.9846506292333728,LL,NS,0
2018,青海,0.9846025326725416,2.3977081179504434,0.2551818065502535,0.6118514891188025,0.5813,0.5982643955393437,HH,NS,0
2018,黑龙江,0.3595193760240896,-0.6533831338453135,-0.6662686406715421,0.4353286924248293,0.1938,1.0975919885662448,LL,NS,0
2022,上海,0.6389035056978963,0.3828542182891003,-0.2793626068188366,-0.10695515245283098,0.5007,-0.6743882777540727,HL,NS,0
2022,云南,0.293755254690567,-1.069719183513001,-0.5158797328214189,0.5518464465846333,0.3665,0.8472903387011288,LL,NS,0
2022,内蒙古,0.3851624568931784,-0.68502747418187,-0.5583456678627307,0.3824821225763957,0.2982,0.9885224060984632,LL,NS,0
2022,北京,1.0,1.902546586934716,-0.4429008667965192,-0.8426395324741449,0.2644,-1.0559691200255206,HL,NS,0
2022,吉林,0.4343727199038105,-0.47792366028071825,-0.4839527466300934,0.23129246807236128,0.0501,1.8982622377746647,LL,LL,1
2022,四川,0.5871767058676729,0.1651594353242912,-0.2218692689321786,-0.03664380317265192,0.4712,-0.7733559514047368,HL,NS,0
2022,天津,0.9999999999997664,1.902546586933733,-0.5392068205249672,-1.0258660960411663,0.0164,-2.2960956216634063,HL,HL,1
2022,宁夏,0.499909878182166,-0.20210730407147867,0.9504701387674327,-0.19209695734673005,0.0341,-2.2007111918057185,LH,LH,1
2022,安徽,0.3786534280017262,-0.7124210426316321,0.6794747407573053,-0.48407210325217737,0.1423,-1.6486743694596382,LH,NS,0
2022,山东,0.6526545559417306,0.4407261900367242,0.3854578940723443,0.16988138907408354,0.0185,2.426892086321108,HH,HH,1
2022,山西,0.3339871557679442,-0.9004012477031789,-0.3933173266706356,0.3541434116775191,0.1228,1.4999998918807864,LL,NS,0
2022,广东,0.9999999999996108,1.902546586933078,0.7734003810182969,1.4714302552391028,0.0673,1.8540324126937506,HH,HH,1
2022,广西,0.3428163333775334,-0.8632432191805205,-0.44644371538058797,0.38538951004805083,0.4269,0.812857655194773,LL,NS,0
2022,新疆,0.2904995245901567,-1.0834210838804523,-0.24466431147537088,0.2650744735255109,0.1386,1.4796673847151525,LL,NS,0
2022,江苏,0.9999999999997516,1.9025465869336708,0.7451371497265922,1.4176581410098117,0.0566,1.8879032218462635,HH,HH,1
2022,江西,0.4282572931132526,-0.5036607349166368,-0.405130379051005,0.2040482644498848,0.1413,1.4355161677671118,LL,NS,0
2022,河北,0.3461327660808853,-0.8492858489209411,-0.14682714061098429,0.12469821275843417,0.8134,0.21810249959160555,LL,NS,0
2022,河南,0.4231551247900952,-0.5251334614221472,-0.06255005581492334,0.032847127322239204,0.6219,0.5052807062820923,LL,NS,0
2022,浙江,0.5808955258420825,0.13872478004072863,-0.0790679928311722,-0.010968689913766273,0.4896,-0.7133504747386523,HL,NS,0
2022,海南,0.906371301709008,1.5085056019784842,0.08866720307438836,0.1337549725494787,0.8292,0.23795228308724106,HH,NS,0
2022,湖北,0.4859713409492087,-0.260768324040524,-0.4215922608165211,0.1099379072815797,0.6054,0.658898315336336,LL,NS,0
2022,湖南,0.5651480342707433,0.07245068670584953,-0.4066519378061364,-0.029462212144318996,0.5753,-0.6734825781567614,HL,NS,0
2022,甘肃,0.4125362718351546,-0.5698234267196008,-0.04853771754706779,0.027657928537818267,0.7821,0.29450880894938447,LL,NS,0
2022,福建,0.5133121595376036,-0.1457031433563098,-0.13970039345949178,0.020354786455161214,0.456,0.7667614595205062,LL,NS,0
2022,贵州,0.3434866927962318,-0.8604219785733123,-0.3877986046308266,0.3336704426844255,0.0484,1.8907436786280083,LL,LL,1
2022,辽宁,0.4084109900601219,-0.5871848781071215,0.11742210501646402,-0.06894848442117404,0.7926,-0.2999676387640346,LH,NS,0
2022,重庆,0.4646372474099707,-0.3505539067175664,-0.2873002907328192,0.10071423931748241,0.3918,0.9082989725890849,LL,NS,0
2022,陕西,0.3546504219339716,-0.8134388750429409,-0.29546838172928713,0.24034546804462956,0.3084,1.058260634549593,LL,NS,0
2022,青海,0.9999999999993254,1.9025465869318772,0.027344364878014615,0.0520239280704866,0.9466,0.05845861762812334,HH,NS,0
2022,黑龙江,0.3671306897275555,-0.7609150537823127,-0.7153342544526013,0.5443086026991317,0.2165,1.18294698403666,LL,NS,0
