year,province,Population,Capital,,Carbon,GDP_constant
2021,云南,4690,67008.19544,,98.09231027,21295.16156
2021,内蒙古,2400,51196.68394,,677.8168079,23456.39915
2021,北京,2189,51172.20057,,2.002198474,32570.29963
2021,吉林,2375,51585.30403,,135.4243234,18599.39185
2021,四川,8372,79475.0857,,88.10529853,45665.7469
2021,天津,1373,54314.56957,,56.9665083,21959.21284
2021,宁夏,725,14081.16106,,191.0734354,4286.6189
2021,安徽,6113,64774.86524,,247.6159811,33905.43438
2021,山东,10170,160314.5688,,557.1211673,91697.07098
2021,山西,3480,38165.97564,,328.6649297,18299.98412
2021,广东,12684,189705.1983,,321.168464,105443.1395
2021,广西,5037,55481.18743,,123.6214205,24369.32278
2021,新疆,2589,39103.11389,,390.4124391,13458.86031
2021,江苏,8505,163567.7445,,397.6176679,103305.0179
2021,江西,4517,46008.49377,,118.5501944,26294.77068
2021,河北,7448,97891.7762,,297.8555863,42749.13879
2021,河南,9883,145494.6946,,263.2169297,53457.70258
2021,浙江,6540,111908.9456,,261.5130408,63959.01291
2021,海南,1020,10968.51759,,19.56094267,5486.991379
2021,湖北,5830,86758.14936,,168.6322712,42800.56526
2021,湖南,6622,76144.28543,,134.0997556,43714.21181
2021,甘肃,2490,18850.98862,,120.5037392,9491.029036
2021,福建,4187,89360.10601,,165.8513139,39578.18907
2021,贵州,3852,40186.09152,,139.2245273,17070.02808
2021,辽宁,4229,61482.59838,,244.5061191,34569.75309
2021,重庆,3212,45296.8317,,72.86940447,24111.71105
2021,陕西,3954,59419.54283,,208.9890799,26167.99595
2021,青海,594,15056.53023,,25.7694656,3424.350349
2021,黑龙江,3125,47016.20174,,196.4677946,19907.42978
2022,上海,2475,63634.75115,,64.1893738,35593.84836
2022,云南,4693,72325.3176,,95.74842497,22210.8535
2022,内蒙古,2401,51774.89829,,712.8875148,24441.56791
2022,北京,2184,52879.36793,,1.373455439,32798.29173
2022,吉林,2348,52431.33373,,127.9172619,18246.00341
2022,四川,8374,84194.56225,,87.74410566,46990.05356
2022,天津,1363,55243.82815,,54.97914654,22178.80496
2022,宁夏,728,14509.76046,,202.5822098,4458.083656
2022,安徽,6127,69753.39416,,263.7364841,35092.12458
2022,山东,10163,165339.7861,,540.1258449,95273.25674
2022,山西,3481,39502.3784,,346.2160555,19105.18342
2022,广东,12657,200497.4503,,315.7222128,107446.5591
2022,广西,5047,57246.45968,,123.0166074,25076.03314
2022,新疆,2587,41723.26299,,396.8347469,13889.54384
2022,江苏,8515,170772.722,,402.2600562,106197.5584
2022,江西,4528,49685.4055,,125.545426,27530.6249
2022,河北,7420,102523.6543,,299.4510344,44373.60606
2022,河南,9872,153660.6202,,306.9729687,55114.89136
2022,浙江,6577,119669.6154,,273.1163147,65941.74231
2022,海南,1027,11227.78782,,19.6595111,5497.965362
2022,湖北,5844,92821.78289,,184.8221827,44640.98957
2022,湖南,6604,81416.03964,,135.0056402,45681.35134
2022,甘肃,2492,19679.54725,,126.4800095,9918.125343
2022,福建,4188,95272.00659,,158.7935928,41438.36396
2022,贵州,3856,41984.43864,,131.5289748,17274.86841
2022,辽宁,4197,61630.11254,,232.3958619,35295.7179
2022,重庆,3213,47634.15332,,77.6693005,24738.61554
2022,陕西,3956,62237.27551,,224.6851902,27293.21978
2022,青海,595,15337.19042,,26.67206014,3503.110407
2022,黑龙江,3099,48705.62645,,184.8985254,20444.93039
