province,year,ntl,lntl
广西,2018,0.096967356661903356,0.092549423933212777
新疆,2018,0.12442344645075123,0.11727041224367368
江苏,2018,0.10908105568089832,0.10353179467923454
江西,2018,0.12562588897870094,0.11833922671230329
河北,2018,0.10047211907195543,0.095739286881036223
河南,2018,0.077589736446685223,0.074726821613096267
浙江,2018,0.12535944391832174,0.11810249033047997
海南,2018,0.48686199405555097,0.39666785486948142
湖北,2018,0.12655839660081505,0.11916731851755442
湖南,2018,0.09720966509610407,0.09277028891610424
甘肃,2018,0.12659086248599685,0.11919613674613215
福建,2018,0.13760943759549885,0.12892907609035523
贵州,2018,0.12429250660106415,0.11715395480523426
辽宁,2018,0.10868924535721756,0.10317845752112234
重庆,2018,1,0.69314718055994529
陕西,2018,0.15189692341275496,0.14141008206625938
青海,2018,0.26716337497187098,0.23678083933385333
黑龙江,2018,0.098535235637857752,0.093977688466340498
上海,2019,1,0.69314718055994529
云南,2019,0.096095519297575024,0.091754337372025568
内蒙古,2019,0.12377583440538423,0.11669429599918071
北京,2019,1,0.69314718055994529
吉林,2019,0.16988790912439022,0.15690794005296446
四川,2019,0.10283094705511563,0.097880462029040424
天津,2019,1,0.69314718055994529
宁夏,2019,0.26302555829345914,0.23351007934211612
安徽,2019,0.083428912908146566,0.080130931081564619
山东,2019,0.071750668878203569,0.069293450594848191
山西,2019,0.10325685108545364,0.098266579060274084
广东,2019,0.070497287568995703,0.068123295246161272
广西,2019,0.099744658897122127,0.095078024583043125
新疆,2019,0.12275024226258448,0.11578124876175887
江苏,2019,0.10665014326059362,0.10133756336020183
江西,2019,0.12390139827821449,0.11680602367176193
河北,2019,0.10070243302503537,0.095948551479067307
河南,2019,0.076948811925067875,0.074131868655761213
浙江,2019,0.12378063044889269,0.11669856378384673
海南,2019,0.48540541009176835,0.39568773842480814
湖北,2019,0.12615906715902961,0.11881278719936446
湖南,2019,0.098476176753379926,0.093923925537155062
甘肃,2019,0.12874890913111747,0.12110985930882799
福建,2019,0.13988003413088482,0.13092302365047837
贵州,2019,0.12494894039949662,0.11773764831483503
辽宁,2019,0.10950313204586135,0.10391228632105728
重庆,2019,1,0.69314718055994529
陕西,2019,0.15515579150542602,0.14423521929795366
青海,2019,0.26793062152186076,0.23738613962999774
黑龙江,2019,0.10269218402856133,0.0977546297266884
上海,2020,1,0.69314718055994529
云南,2020,0.084095658752049732,0.08074614520522487
内蒙古,2020,0.12579549259307174,0.11848989030293972
北京,2020,1,0.69314718055994529
吉林,2020,0.16697472961582793,0.15441469892757209
四川,2020,0.089870249749874537,0.086058652228874391
天津,2020,1,0.69314718055994529
宁夏,2020,0.26928431587481344,0.23845321082010293
安徽,2020,0.085324258723137619,0.08187879830989947
山东,2020,0.071021833050476033,0.068613176925871572
山西,2020,0.10392379417077482,0.098870918453203616
广东,2020,0.068427153794232601,0.066187617312800651
广西,2020,0.097986142261772283,0.09347772211677699
新疆,2020,0.12881358147556565,0.12116715326612482
江苏,2020,0.10453886377316333,0.099427930016046773
江西,2020,0.12494517572082264,0.11773430177630512
河北,2020,0.10095266379500517,0.096175862987948557
河南,2020,0.075757103747956855,0.073024696245288623
浙江,2020,0.12059986289070976,0.11386413379557689
海南,2020,0.53133430435812468,0.42613944970272594
湖北,2020,0.1297469070355898,0.12199363156316306
湖南,2020,0.097505844269046293,0.093040191027312966
甘肃,2020,0.13478223652232127,0.12644077043060856
福建,2020,0.13719600526143172,0.12856558800400705
贵州,2020,0.12377785564582305,0.11669609461288925
辽宁,2020,0.10839980130713231,0.10291735474569255
重庆,2020,1,0.69314718055994529
陕西,2020,0.15760860539974336,0.14635633013589555
青海,2020,0.269680778959415,0.23876551372543267
黑龙江,2020,0.10158439909823748,0.09674950629338841
上海,2021,1,0.69314718055994529
云南,2021,0.12835656554145208,0.12076220732887444
内蒙古,2021,0.11220685194033286,0.10634619646115452
北京,2021,1,0.69314718055994529
吉林,2021,0.27193445592024179,0.24053893522570891
四川,2021,0.1551173864084574,0.14420197206352328
天津,2021,1,0.69314718055994529
宁夏,2021,0.31848563449791961,0.27648383141466326
安徽,2021,0.092687003011855937,0.088639803144630977
