province,year,lntl,ind,urb,rd,open
四川,2021,0.590758239,0.3696,0.5782,0.0226,0.1768
天津,2021,2.082668701,0.373,0.8488,0.0366,0.5459
宁夏,2021,0.690231123,0.447,0.6604,0.0156,0.0473
安徽,2021,1.033685486,0.41,0.5939,0.0234,0.1609
山东,2021,1.15797482,0.3994,0.6394,0.0234,0.3528
山西,2021,0.731825661,0.4964,0.6342,0.0112,0.0988
广东,2021,1.943741021,0.4038,0.7463,0.0322,0.6648
广西,2021,0.474314164,0.3309,0.5508,0.0081,0.2398
新疆,2021,0.438465709,0.3733,0.5726,0.0049,0.0982
江苏,2021,1.751566568,0.4449,0.7394,0.0295,0.4478
江西,2021,0.5542652,0.4451,0.6146,0.017,0.168
河北,2021,0.930924525,0.4051,0.6114,0.0185,0.1341
河南,2021,1.006082929,0.4132,0.5645,0.0173,0.1393
浙江,2021,1.580349151,0.4242,0.7266,0.0294,0.5634
海南,2021,1.380214146,0.1913,0.6097,0.0073,0.2268
湖北,2021,0.719590632,0.379,0.6409,0.0232,0.1074
湖南,2021,0.446129998,0.3935,0.5971,0.0223,0.1296
甘肃,2021,0.318286927,0.3384,0.5333,0.0126,0.048
福建,2021,1.496074243,0.4685,0.697,0.0198,0.3776
贵州,2021,0.46986279,0.3566,0.5433,0.0092,0.0334
辽宁,2021,0.749363841,0.3943,0.7281,0.0218,0.28
重庆,2021,0.592985578,0.401,0.7032,0.0216,0.2868
陕西,2021,0.666067254,0.4632,0.6363,0.0235,0.1595
青海,2021,0.208673474,0.3982,0.6102,0.008,0.0095
黑龙江,2021,0.199237623,0.2672,0.6569,0.0131,0.1339
上海,2022,2.878166095,0.2566,0.8933,0.0444,0.9364
云南,2022,0.274027264,0.3616,0.5172,0.0108,0.112
内蒙古,2022,0.366068414,0.4854,0.686,0.009,0.0651
北京,2022,1.929774651,0.1587,0.8757,0.0683,0.8753
吉林,2022,0.398531762,0.3541,0.6372,0.0143,0.1193
四川,2022,0.623744516,0.3728,0.5835,0.0214,0.177
天津,2022,2.107440778,0.3702,0.8511,0.0349,0.509
宁夏,2022,0.731129463,0.4831,0.6634,0.0157,0.0423
安徽,2022,1.070435696,0.4127,0.6015,0.0256,0.1671
山东,2022,1.197341238,0.4005,0.6454,0.0249,0.3683
山西,2022,0.756578197,0.5398,0.6396,0.0107,0.0714
广东,2022,1.951320749,0.4093,0.7479,0.0342,0.6428
广西,2022,0.474905392,0.3399,0.5565,0.0083,0.2458
新疆,2022,0.500996017,0.4098,0.5789,0.0051,0.1385
江苏,2022,1.770671132,0.4548,0.7442,0.0312,0.4412
江西,2022,0.578715966,0.4477,0.6207,0.0174,0.2065
河北,2022,0.962061646,0.4024,0.6165,0.02,0.1298
河南,2022,1.033653278,0.4151,0.5707,0.0186,0.1381
浙江,2022,1.617957356,0.4273,0.7338,0.0311,0.6026
海南,2022,1.364573698,0.1923,0.6149,0.01,0.2941
湖北,2022,0.7808928,0.3953,0.6467,0.0233,0.114
湖南,2022,0.467838783,0.3941,0.6031,0.0241,0.1445
甘肃,2022,0.328631359,0.3522,0.5419,0.0129,0.0507
福建,2022,1.484745575,0.4722,0.7011,0.0204,0.3732
贵州,2022,0.42375074,0.3527,0.5481,0.0099,0.0362
辽宁,2022,0.717928124,0.4057,0.73,0.0214,0.2727
重庆,2022,0.63002542,0.4015,0.7096,0.0236,0.2782
陕西,2022,0.69767463,0.4862,0.6402,0.0235,0.1451
青海,2022,0.205893713,0.4392,0.6143,0.008,0.0112
黑龙江,2022,0.184944749,0.2924,0.6621,0.0137,0.1668
