province,year,ntl,lntl
青海,2016,0.227812431,0.205234075
青海,2017,0.43369507,0.360255076
青海,2018,0.431791427,0.358926407
青海,2019,0.446784427,0.369343457
青海,2020,0.481461727,0.393029254
青海,2021,0.232042639,0.208673474
青海,2022,0.22862261,0.205893713
陕西,2014,0.770074341,0.571021547
陕西,2015,0.725755753,0.545665072
陕西,2016,0.703192446,0.532504399
陕西,2017,0.948695661,0.667160257
陕西,2018,1.02118714,0.703685032
陕西,2019,1.054497559,0.720031321
陕西,2020,1.096544868,0.740290689
陕西,2021,0.946566894,0.666067254
陕西,2022,1.009075428,0.69767463
山东,2014,1.366920374,0.86158969
山东,2015,1.365874915,0.861147896
山东,2016,1.383916598,0.868744765
山东,2017,1.743384818,1.009192493
山东,2018,1.896070667,1.063354876
山东,2019,2.067944567,1.121007815
山东,2020,2.252308166,1.179364949
山东,2021,2.183479624,1.15797482
山东,2022,2.311301245,1.197341238
上海,2014,13.84806828,2.697869775
上海,2015,14.90484802,2.766623969
上海,2016,14.65368129,2.750706116
上海,2017,16.11398451,2.839895937
上海,2018,16.23350352,2.846855368
上海,2019,16.35874852,2.854096617
上海,2020,16.55462155,2.865317251
上海,2021,16.57119443,2.866260881
上海,2022,16.78163344,2.878166095
山西,2014,0.843783869,0.611819911
山西,2015,0.800710479,0.588181298
山西,2016,0.736088411,0.551634543
山西,2017,1.010711048,0.698488415
山西,2018,1.035784577,0.710881286
山西,2019,1.160259102,0.770228169
山西,2020,1.267145138,0.818521391
山西,2021,1.078872463,0.731825661
山西,2022,1.130971965,0.756578197
四川,2014,0.566392099,0.448774949
四川,2015,0.531449663,0.426214779
四川,2016,0.64625816,0.498504931
四川,2017,0.785975228,0.579964612
四川,2018,0.888980365,0.636037194
四川,2019,0.989015435,0.68763976
四川,2020,1.037570636,0.711758234
四川,2021,0.805356789,0.590758239
四川,2022,0.865901876,0.623744516
天津,2014,5.160769595,1.818201704
天津,2015,5.224652165,1.828517564
天津,2016,5.297706273,1.840185483
天津,2017,5.832119898,1.921635006
天津,2018,6.129108397,1.964186177
天津,2019,6.496356574,2.014417112
天津,2020,6.653246363,2.035129919
天津,2021,7.025858975,2.082668701
天津,2022,7.227159192,2.107440778
新疆,2014,0.685964091,0.522337561
新疆,2015,0.636974045,0.492849443
新疆,2016,0.604204107,0.47262775
新疆,2017,0.777225254,0.575053302
新疆,2018,0.809306299,0.592943512
新疆,2019,0.879606283,0.631062331
新疆,2020,0.939324064,0.662339492
新疆,2021,0.55032674,0.438465709
新疆,2022,0.650364244,0.500996017
西藏,2014,0.141045791,0.131945202
西藏,2015,0.174616428,0.16094165
西藏,2016,0.080008292,0.076968719
西藏,2017,0.29527068,0.258719692
西藏,2018,0.284635711,0.250475184
西藏,2019,0.267051206,0.236692316
西藏,2020,0.319018341,0.276887779
西藏,2021,0.035292689,0.034684178
西藏,2022,0.03696801,0.03630108
云南,2014,0.283315458,0.249446931
云南,2015,0.309761747,0.269845248
云南,2016,0.24738196,0.221046923
云南,2017,0.465425621,0.382145727
云南,2018,0.483476022,0.394387997
云南,2019,0.461065081,0.379165677
云南,2020,0.535349418,0.428757989
云南,2021,0.328642441,0.2841577
云南,2022,0.315250661,0.274027264
浙江,2014,2.107032824,1.133668195
浙江,2015,2.256426492,1.180630426
浙江,2016,2.332619141,1.203758524
浙江,2017,2.865406947,1.352066967
浙江,2018,3.068228251,1.403207585
浙江,2019,3.244526918,1.445630369
浙江,2020,3.584252693,1.522627103
浙江,2021,3.856651222,1.580349151
浙江,2022,4.042779184,1.617957356
