variable,province,pp_pvalue
open,宁夏,0.7493060135193763
open,安徽,0.9859994292023201
open,山东,0.9989508424956761
open,山西,0.002304031577320601
open,广东,6.28775079227352e-07
open,广西,0.9633307269907502
open,新疆,0.02485734991280033
open,江苏,0.00011922679316477511
open,江西,0.9986537322708259
open,河北,0.9674157224971257
open,河南,0.9210563295034924
open,浙江,0.998889318343845
open,海南,0.9145347754908673
open,湖北,0.9658165466468057
open,湖南,0.9981770594072384
open,甘肃,1.587178566747117e-07
open,福建,0.07436736829979114
open,贵州,5.563803946818013e-29
open,辽宁,2.825900686383207e-07
open,重庆,0.15878688361662313
open,陕西,0.4216917233125818
open,青海,4.222361619750949e-12
open,黑龙江,0.996166623492322
es,上海,2.940440181625373e-14
es,云南,1.0
es,内蒙古,0.9599709676019034
es,北京,6.660934881031905e-08
es,吉林,0.22113555519332967
es,四川,0.9063028111513431
es,天津,0.5986633223221702
es,宁夏,0.6644052942385372
es,安徽,0.34727702025275403
es,山东,0.0023282858832758533
es,山西,1.0
es,广东,0.7511959628029772
es,广西,0.3208550755359293
es,新疆,0.9418615003666913
es,江苏,0.5931982579379534
es,江西,0.6858845861880223
es,河北,0.9704999757983195
es,河南,5.23068047558935e-07
es,浙江,0.976687654740681
es,海南,0.4325547324461131
es,湖北,0.583294547875251
es,湖南,0.993619240061627
es,甘肃,0.017342665688835083
es,福建,0.9902450133638
es,贵州,0.9924606750325109
es,辽宁,4.350010650724306e-08
es,重庆,0.12292881433500663
es,陕西,4.954796606598638e-07
es,青海,7.739322434761024e-05
es,黑龙江,0.9977414597010316
