GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,light_mean
CHN.7.3_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Chongzuo,Chóngzuǒ,崇左市,Dìjíshì,Prefecture City,NA,NA,0.404948313783906
CHN.7.4_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Fangchenggang,Fángchénggǎng,防城港市,Dìjíshì,Prefecture City,NA,NA,0.628869861452352
CHN.7.5_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Guigang,Guìgǎng,贵港市,Dìjíshì,Prefecture City,NA,NA,0.671945430341968
CHN.7.6_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Guilin,Guìlín,桂林市,Dìjíshì,Prefecture City,NA,NA,0.444187044527745
CHN.7.7_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Hechi,Héchí,河池市,Dìjíshì,Prefecture City,NA,NA,0.306577988373845
CHN.7.8_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Hezhou,Hèzhōu,贺州市,Dìjíshì,Prefecture City,NA,NA,0.400230445535017
CHN.7.9_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Laibin,Láibīn,来宾市,Dìjíshì,Prefecture City,NA,NA,0.440274051091479
CHN.7.10_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Liuzhou,Liǔzhōu,柳州市,Dìjíshì,Prefecture City,NA,NA,0.855765396168545
CHN.7.11_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Nanning,Nánníng,南宁市,Dìjíshì,Prefecture City,NA,NA,1.23948175088776
CHN.7.12_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Qinzhou,Qīnzhōu,钦州市,Dìjíshì,Prefecture City,NA,NA,0.640245616189944
CHN.7.13_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Wuzhou,Wúzhōu,梧州市,Dìjíshì,Prefecture City,NA,NA,0.471283423155266
CHN.7.14_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Yulin,Yùlín,玉林市,Dìjíshì,Prefecture City,NA,NA,0.723561693649049
CHN.8.1_1,CHN,China,CHN.8_1,Guizhou,貴州|贵州,Anshun,Ānshùn,安顺市,Dìjíshì,Prefecture City,NA,NA,0.957194196328844
CHN.8.2_1,CHN,China,CHN.8_1,Guizhou,貴州|贵州,Bijie,Bìjié,毕节地区,Dìqu,Prefecture,NA,NA,0.53227188930213
CHN.8.3_1,CHN,China,CHN.8_1,Guizhou,貴州|贵州,Guiyang,Guìyáng,贵阳市,Dìjíshì,Prefecture City,NA,NA,2.42639029298699
CHN.8.4_1,CHN,China,CHN.8_1,Guizhou,貴州|贵州,Liupanshui,Liùpánshuǐ,六盘水市,Dìjíshì,Prefecture City,NA,NA,0.695626430044564
CHN.8.5_1,CHN,China,CHN.8_1,Guizhou,貴州|贵州,Qiandongnan Miao and Dong,Qiándōngnán Miáozú|Dòngzú,黔东南苗族侗族自治州,Zìzhìzhou,Autonomous Prefecture,NA,NA,0.459301690118032
CHN.8.6_1,CHN,China,CHN.8_1,Guizhou,貴州|贵州,Qiannan Buyei and Miao,Qiánnán Bùyīzú|Miáozú,黔南布依族苗族自治州,Zìzhìzhou,Autonomous Prefecture,NA,NA,0.57238410001336
CHN.8.7_1,CHN,China,CHN.8_1,Guizhou,貴州|贵州,Qianxinan Buyei and Miao,Qiánxīnán Bùyīzú|Miáozú,黔西南布依族苗族自治州,Zìzhìzhou,Autonomous Prefecture,NA,NA,0.534896356473156
CHN.8.8_1,CHN,China,CHN.8_1,Guizhou,貴州|贵州,Tongren,Tóngrén,铜仁地区,Dìqu,Prefecture,NA,NA,0.616555420946686
CHN.8.9_1,CHN,China,CHN.8_1,Guizhou,貴州|贵州,Zunyi,Zūnyì,遵义市,Dìjíshì,Prefecture City,NA,NA,0.701042726308406
CHN.9.1_1,CHN,China,CHN.9_1,Hainan,海南,Haikou,Hǎikǒu,海口市,Dìjíshì,Prefecture City,NA,NA,3.90819318435346
CHN.9.2_1,CHN,China,CHN.9_1,Hainan,海南,Hainan,Hǎinán,海南,Dìqu,Prefecture,NA,NA,0.837663255530492
CHN.9.3_1,CHN,China,CHN.9_1,Hainan,海南,Sanya,Sānyà,三亚市,Dìjíshì,Prefecture City,NA,NA,2.70019455370206
CHN.10.1_1,CHN,China,CHN.10_1,Hebei,河北,Baoding,Bǎodìng,保定市,Dìjíshì,Prefecture City,NA,NA,1.2340782279593
CHN.10.2_1,CHN,China,CHN.10_1,Hebei,河北,Cangzhou,Cāngzhōu,沧州市,Dìjíshì,Prefecture City,NA,NA,1.64546594001421
CHN.10.3_1,CHN,China,CHN.10_1,Hebei,河北,Chengde,Chéngdé,承德市,Dìjíshì,Prefecture City,NA,NA,0.448524979247876
CHN.10.4_1,CHN,China,CHN.10_1,Hebei,河北,Handan,Hándān,邯郸市,Dìjíshì,Prefecture City,NA,NA,1.48122571542749
CHN.10.5_1,CHN,China,CHN.10_1,Hebei,河北,Hengshui,Héngshuǐ,衡水市,Dìjíshì,Prefecture City,NA,NA,1.06039230500926
CHN.10.6_1,CHN,China,CHN.10_1,Hebei,河北,Langfang,Lángfáng,廊坊市,Dìjíshì,Prefecture City,NA,NA,3.20558063630794
CHN.10.7_1,CHN,China,CHN.10_1,Hebei,河北,Qinhuangdao,Qínhuángdǎo,秦皇岛市,Dìjíshì,Prefecture City,NA,NA,1.36622832693229
CHN.10.8_1,CHN,China,CHN.10_1,Hebei,河北,Shijiazhuang,Shíjiāzhuāng,石家庄市,Dìjíshì,Prefecture City,NA,NA,2.04365175978658
CHN.10.9_1,CHN,China,CHN.10_1,Hebei,河北,Tangshan,Tángshān,唐山市,Dìjíshì,Prefecture City,NA,NA,2.34871837178648
CHN.10.10_1,CHN,China,CHN.10_1,Hebei,河北,Xingtai,Xíngtái,邢台市,Dìjíshì,Prefecture City,NA,NA,1.29335045434217
CHN.10.11_1,CHN,China,CHN.10_1,Hebei,河北,Zhangjiakou,Zhāngjiākǒu,张家口市,Dìjíshì,Prefecture City,NA,NA,0.557810528657451
CHN.11.1_1,CHN,China,CHN.11_1,Heilongjiang,黑龙江省|黑龍江省,Daqing,Dàqìng,大庆市,Dìjíshì,Prefecture City,NA,NA,1.05470385134104
CHN.11.2_1,CHN,China,CHN.11_1,Heilongjiang,黑龙江省|黑龍江省,Daxing'anling,Dàxīng'ānlǐng,大兴安岭地区,Dìqu,Prefecture,NA,NA,0.352357628527824
CHN.11.3_1,CHN,China,CHN.11_1,Heilongjiang,黑龙江省|黑龍江省,Harbin,Hā'ěrbīn,哈尔滨市,Dìjíshì,Prefecture City,NA,NA,0.796085560314307
CHN.11.4_1,CHN,China,CHN.11_1,Heilongjiang,黑龙江省|黑龍江省,Hegang,Hègǎng,鹤岗市,Dìjíshì,Prefecture City,NA,NA,0.44921581390086
CHN.11.5_1,CHN,China,CHN.11_1,Heilongjiang,黑龙江省|黑龍江省,Heihe,Hēihé,黑河市,Dìjíshì,Prefecture City,NA,NA,0.361507541961432
CHN.11.6_1,CHN,China,CHN.11_1,Heilongjiang,黑龙江省|黑龍江省,Jiamusi,Jiāmùsī,佳木斯市,Dìjíshì,Prefecture City,NA,NA,0.49969935467833
CHN.11.7_1,CHN,China,CHN.11_1,Heilongjiang,黑龙江省|黑龍江省,Jixi,Jīxī,鸡西市,Dìjíshì,Prefecture City,NA,NA,0.385443880649779
CHN.11.8_1,CHN,China,CHN.11_1,Heilongjiang,黑龙江省|黑龍江省,Mudanjiang,Mǔdānjiāng,牡丹江市,Dìjíshì,Prefecture City,NA,NA,0.390670063756103
CHN.11.9_1,CHN,China,CHN.11_1,Heilongjiang,黑龙江省|黑龍江省,Qiqihar,Qíqíhā'ěr,齐齐哈尔市,Dìjíshì,Prefecture City,NA,NA,0.528462414975687
CHN.11.10_1,CHN,China,CHN.11_1,Heilongjiang,黑龙江省|黑龍江省,Qitaihe,Qītáihé,七台河市,Dìjíshì,Prefecture City,NA,NA,0.617586701455607
CHN.11.11_1,CHN,China,CHN.11_1,Heilongjiang,黑龙江省|黑龍江省,Shuangyashan,Shuāngyāshān,双鸭山市,Dìjíshì,Prefecture City,NA,NA,0.376801025245661
CHN.11.12_1,CHN,China,CHN.11_1,Heilongjiang,黑龙江省|黑龍江省,Suihua,Suíhuà,绥化市,Dìjíshì,Prefecture City,NA,NA,0.550308405614793
