province,year,es
浙江,2019,0.126272215731359
浙江,2020,0.113531226678021
浙江,2021,0.115393079478786
浙江,2022,0.0480452533769846
海南,2015,0.08366916387789
海南,2016,0.0951467628085384
海南,2017,0.0991960207642974
海南,2018,0.101810756634693
海南,2019,0.0975399639869722
海南,2020,0.0902138413614696
海南,2021,0.0304692495002732
海南,2022,0.0792695243253355
湖北,2015,0.471870679970466
湖北,2016,0.472726820093016
湖北,2017,0.460921051415158
湖北,2018,0.392890651530202
湖北,2019,0.365798707144489
湖北,2020,0.368958083864456
湖北,2021,0.352478011558944
湖北,2022,0.378192111782762
湖南,2015,0.505183357677094
湖南,2016,0.512916806280168
湖南,2017,0.5469885032651
湖南,2018,0.472482465625426
湖南,2019,0.452040599804201
湖南,2020,0.447367064966972
湖南,2021,0.347814285300406
湖南,2022,0.338784226398475
甘肃,2015,0.411761663129969
甘肃,2016,0.397060473543756
甘肃,2017,0.364730400934253
甘肃,2018,0.319567598544878
甘肃,2019,0.320141132424678
甘肃,2020,0.31429591324146
甘肃,2021,0.302220277940193
甘肃,2022,0.292894502944519
福建,2015,0.319726820952899
福建,2016,0.312261576401423
福建,2017,0.288372825194337
福建,2018,0.285752505836052
福建,2019,0.27783074285179
福建,2020,0.258692787024522
福建,2021,0.235925973313292
福建,2022,0.22858660339267
贵州,2015,0.612603844875771
贵州,2016,0.586976130200958
贵州,2017,0.558226877207191
贵州,2018,0.475500718172682
贵州,2019,0.458284778057682
贵州,2020,0.444596744882493
贵州,2021,0.374725973700025
贵州,2022,0.338654642815194
辽宁,2015,0.40174300843171
辽宁,2016,0.370548859934594
辽宁,2017,0.356825876520868
辽宁,2018,0.349039977052822
辽宁,2019,0.344066159921626
辽宁,2020,0.344010249062947
辽宁,2021,0.327577124855748
辽宁,2022,0.324968646972772
重庆,2015,0.40229094060407
重庆,2016,0.349493657866844
重庆,2017,0.346142944646546
重庆,2018,0.306731459068456
重庆,2019,0.281069420420115
重庆,2020,0.295658934133405
重庆,2021,0.248748211039159
重庆,2022,0.24092591613532
陕西,2015,0.476405921948958
陕西,2016,0.447293980773383
陕西,2017,0.426510517968314
陕西,2018,0.397156775409201
陕西,2019,0.383462433127136
陕西,2020,0.401887187528775
陕西,2021,0.389156041514884
陕西,2022,0.378796713276187
青海,2015,0.323608988109351
青海,2016,0.310754568008888
青海,2017,0.242700132702798
青海,2018,0.236363450721404
青海,2019,0.23938871707874
青海,2020,0.232141538806671
青海,2021,0.239684751033958
青海,2022,0.230610860054965
黑龙江,2015,0.413168103495687
黑龙江,2016,0.433005381159735
黑龙江,2017,0.423307432556118
黑龙江,2018,0.378213378112804
黑龙江,2019,0.381421587564558
黑龙江,2020,0.324169528239629
黑龙江,2021,0.292488381182252
黑龙江,2022,0.272450704818613
