year,province,total_emissions_mt_co2,coal_related_emissions_mt_co2,es_proxy,source_file,source_sheet
2019,四川,315.16335513633845,159.30488402777917,0.505467661235122,2019年30个省份排放清单.xlsx,Sichuan2019
2019,天津,158.46648203981863,103.67712130389758,0.6542526846645471,2019年30个省份排放清单.xlsx,Tianjin2019
2019,宁夏,212.41378355333543,196.5330648514944,0.9252368728799866,2019年30个省份排放清单.xlsx,Ningxia2019
2019,安徽,408.06434106990173,309.8503171726013,0.7593173085406247,2019年30个省份排放清单.xlsx,Anhui2019
2019,山东,938.6239527535344,773.6787057662034,0.8242690840102154,2019年30个省份排放清单.xlsx,Shandong2019
2019,山西,564.8633354195971,506.9487029909822,0.8974714257465584,2019年30个省份排放清单.xlsx,Shanxi2019
2019,广东,569.1195312398612,329.0015636255524,0.5780886888713918,2019年30个省份排放清单.xlsx,Guangdong2019
2019,广西,246.71670901614,178.21128830308083,0.7223316532299497,2019年30个省份排放清单.xlsx,Guangxi2019
2019,新疆,455.2745744376065,380.953903653593,0.8367563774545929,2019年30个省份排放清单.xlsx,Xinjiang2019
2019,江苏,800.8036633191879,621.9984265777504,0.7767177587570944,2019年30个省份排放清单.xlsx,Jiangsu2019
2019,江西,242.3082564978318,173.78107740178066,0.7171900780992813,2019年30个省份排放清单.xlsx,Jiangxi2019
2019,河北,914.2091182203847,817.7974591462486,0.8945409128473661,2019年30个省份排放清单.xlsx,Hebei2019
2019,河南,460.6308192655039,344.70112468390397,0.7483240596743941,2019年30个省份排放清单.xlsx,Henan2019
2019,浙江,381.40721571023397,245.12092246132863,0.642675105149437,2019年30个省份排放清单.xlsx,Zhejiang2019
2019,海南,43.06708425577868,19.51647441128244,0.4531645164407374,2019年30个省份排放清单.xlsx,Hainan2019
2019,湖北,354.7524714873529,231.1833950107099,0.651675220306257,2019年30个省份排放清单.xlsx,Hubei2019
2019,湖南,310.6416664583151,213.0557722244104,0.6858570347419903,2019年30个省份排放清单.xlsx,Hunan2019
2019,甘肃,164.48840264265556,125.8903837652297,0.7653450440437524,2019年30个省份排放清单.xlsx,Gansu2019
2019,福建,278.1092921207489,184.25088119707462,0.6625124956884827,2019年30个省份排放清单.xlsx,Fujian2019
2019,贵州,261.12923527405553,187.30025276066263,0.7172703300114625,2019年30个省份排放清单.xlsx,Guizhou2019
2019,辽宁,533.3884358652839,422.9254970134505,0.7929033863048868,2019年30个省份排放清单.xlsx,Liaoning2019
2019,重庆,156.25467298724152,93.0472204334214,0.5954844015514268,2019年30个省份排放清单.xlsx,Chongqing2019
2019,陕西,296.27254016679996,229.999998003066,0.7763122355975925,2019年30个省份排放清单.xlsx,Shaanxi2019
2019,青海,51.75240333370681,29.253818943509167,0.5652649357147032,2019年30个省份排放清单.xlsx,Qinghai2019
2019,黑龙江,280.9155332276845,229.14074520747752,0.8156926837568536,2019年30个省份排放清单.xlsx,Heilongjiang2019
2020,上海,179.89884417440965,89.79389815385431,0.4991354923147826,2020年30个省份排放清单.xlsx,Shanghai2020
2020,云南,235.64207445133667,155.4678403662576,0.6597626537121827,2020年30个省份排放清单.xlsx,Yunnan2020
2020,内蒙古,839.7430766604402,789.6601374520442,0.9403592115250654,2020年30个省份排放清单.xlsx,InnerMongolia2020
2020,北京,76.78484253932595,2.182399230618912,0.028422266145837045,2020年30个省份排放清单.xlsx,Beijing2020
2020,吉林,200.59382151108343,169.04847571059696,0.8427401922808301,2020年30个省份排放清单.xlsx,Jilin2020
2020,四川,307.5534883616909,153.7230436595567,0.49982539453031477,2020年30个省份排放清单.xlsx,Sichuan2020
2020,天津,161.87253060166387,107.52016925772577,0.6642273945930427,2020年30个省份排放清单.xlsx,Tianjin2020
2020,宁夏,225.91083019595138,209.12961416139296,0.925717523059861,2020年30个省份排放清单.xlsx,Ningxia2020
2020,安徽,416.0108912225107,316.2206176202714,0.7601258147136712,2020年30个省份排放清单.xlsx,Anhui2020
2020,山东,927.6355330741584,759.0754699185356,0.81829063555056,2020年30个省份排放清单.xlsx,Shandong2020
2020,山西,583.2485838249069,526.790445589656,0.9032005566734478,2020年30个省份排放清单.xlsx,Shanxi2020
2020,广东,566.571828771506,326.2315129668221,0.5757990362390374,2020年30个省份排放清单.xlsx,Guangdong2020
2020,广西,268.0970577879731,199.028430042419,0.7423745403421114,2020年30个省份排放清单.xlsx,Guangxi2020
2020,新疆,466.8956073000143,398.0930465616335,0.8526382350516094,2020年30个省份排放清单.xlsx,Xinjiang2020
2020,江苏,773.971149426631,598.5630425787641,0.7733660912582959,2020年30个省份排放清单.xlsx,Jiangsu2020
2020,江西,241.5163073430977,175.29376922938852,0.725805106734952,2020年30个省份排放清单.xlsx,Jiangxi2020
2020,河北,939.3631003184231,839.5917113007785,0.8937882603821415,2020年30个省份排放清单.xlsx,Hebei2020
2020,河南,473.6569939912036,354.2141939191077,0.7478284885743414,2020年30个省份排放清单.xlsx,Henan2020
2020,浙江,386.97290085721806,235.44963893087032,0.6084396049679575,2020年30个省份排放清单.xlsx,Zhejiang2020
2020,海南,40.25000393902834,17.6847010471143,0.4393714115880213,2020年30个省份排放清单.xlsx,Hainan2020
2020,湖北,317.4861040169943,205.16200001161857,0.6462078100924906,2020年30个省份排放清单.xlsx,Hubei2020
2020,湖南,302.31426114299956,205.23733726933864,0.6788873819361702,2020年30个省份排放清单.xlsx,Hunan2020
2020,甘肃,175.86981328525033,136.2753461077954,0.7748649046824478,2020年30个省份排放清单.xlsx,Gansu2020
2020,福建,275.8177830168706,188.73198751997353,0.6842633040394992,2020年30个省份排放清单.xlsx,Fujian2020
2020,贵州,252.7772991384723,177.9799525937565,0.7040978489775637,2020年30个省份排放清单.xlsx,Guizhou2020
2020,辽宁,543.8739352858281,436.22466149141974,0.8020694377680845,2020年30个省份排放清单.xlsx,Liaoning2020
2020,重庆,152.85643639042124,91.34391995421703,0.5975798082908932,2020年30个省份排放清单.xlsx,Chongqing2020
2020,陕西,309.7845228907037,249.74605701502963,0.8061928164924608,2020年30个省份排放清单.xlsx,Shaanxi2020
