province,year,energy_total,es
浙江,2022,35802.628753,0.0480452533769846
海南,2015,1610.54191,0.08366916387789
海南,2016,1643.283727,0.0951467628085384
海南,2017,1675.051718,0.0991960207642974
海南,2018,1745.003464,0.101810756634693
海南,2019,1792.200877,0.0975399639869722
海南,2020,1745.893065,0.0902138413614696
海南,2021,5506.148453,0.0304692495002732
海南,2022,1894.485974,0.0792695243253355
湖北,2015,11852.363269,0.471870679970466
湖北,2016,11833.154095,0.472726820093016
湖北,2017,12140.558579,0.460921051415158
湖北,2018,11814.759954,0.392890651530202
湖北,2019,12260.517641,0.365798707144489
湖北,2020,11553.686539,0.368958083864456
湖北,2021,12875.726582,0.352478011558944
湖北,2022,13126.577005,0.378192111782762
湖南,2015,11140.368772,0.505183357677094
湖南,2016,11601.185173,0.512916806280168
湖南,2017,12024.044931,0.5469885032651
湖南,2018,11282.745168,0.472482465625426
湖南,2019,11510.43088,0.452040599804201
湖南,2020,11578.95338,0.447367064966972
湖南,2021,11895.721754,0.347814285300406
湖南,2022,11873.351619,0.338784226398475
甘肃,2015,5059.679855,0.411761663129969
甘肃,2016,4936.026607,0.397060473543756
甘肃,2017,4955.850983,0.364730400934253
甘肃,2018,5028.363837,0.319567598544878
甘肃,2019,5095.74183,0.320141132424678
甘肃,2020,5332.204163,0.31429591324146
甘肃,2021,5529.058402,0.302220277940193
甘肃,2022,5554.942461,0.292894502944519
福建,2015,8101.567611,0.319726820952899
福建,2016,8178.259248,0.312261576401423
福建,2017,8467.851894,0.288372825194337
福建,2018,8649.303385,0.285752505836052
福建,2019,9185.727223,0.27783074285179
福建,2020,8955.285374,0.258692787024522
福建,2021,9827.975023,0.235925973313292
福建,2022,10485.594923,0.22858660339267
贵州,2015,6928.996926,0.612603844875771
贵州,2016,7094.240915,0.586976130200958
贵州,2017,7208.395635,0.558226877207191
贵州,2018,7052.524589,0.475500718172682
贵州,2019,7229.945568,0.458284778057682
贵州,2020,7237.479001,0.444596744882493
贵州,2021,7575.215865,0.374725973700025
贵州,2022,7315.908512,0.338654642815194
辽宁,2015,15547.389047,0.40174300843171
辽宁,2016,14806.199374,0.370548859934594
辽宁,2017,15268.964928,0.356825876520868
辽宁,2018,15854.139419,0.349039977052822
辽宁,2019,16821.134195,0.344066159921626
辽宁,2020,17698.763774,0.344010249062947
辽宁,2021,17970.577404,0.327577124855748
辽宁,2022,17939.299638,0.324968646972772
重庆,2015,6635.845719,0.40229094060407
重庆,2016,6508.356177,0.349493657866844
重庆,2017,6644.292913,0.346142944646546
重庆,2018,5858.019606,0.306731459068456
重庆,2019,5935.800926,0.281069420420115
重庆,2020,6084.932851,0.295658934133405
重庆,2021,6506.294595,0.248748211039159
重庆,2022,6349.81331,0.24092591613532
陕西,2015,8243.213703,0.476405921948958
陕西,2016,8122.954129,0.447293980773383
陕西,2017,7991.875521,0.426510517968314
陕西,2018,8248.035866,0.397156775409201
陕西,2019,8866.133061,0.383462433127136
陕西,2020,8940.927249,0.401887187528775
陕西,2021,9883.37489,0.389156041514884
陕西,2022,11022.464453,0.378796713276187
青海,2015,2480.931632,0.323608988109351
青海,2016,2608.321764,0.310754568008888
青海,2017,2567.144064,0.242700132702798
青海,2018,2694.430002,0.236363450721404
青海,2019,2709.472263,0.23938871707874
青海,2020,2578.168522,0.232141538806671
青海,2021,2960.183666,0.239684751033958
青海,2022,2998.517181,0.230610860054965
黑龙江,2015,8904.215572,0.413168103495687
黑龙江,2016,9132.942975,0.433005381159735
黑龙江,2017,9300.330694,0.423307432556118
黑龙江,2018,7840.996061,0.378213378112804
黑龙江,2019,8341.872253,0.381421587564558
黑龙江,2020,8388.005297,0.324169528239629
黑龙江,2021,8947.452078,0.292488381182252
黑龙江,2022,8627.230807,0.272450704818613
