province,year,eff,lntl,ind,urb,rd,open,es,fitted,resid,std_resid
山西,2016,0.2850031353311299,0.551634543,0.3854,0.5727,0.0103,0.0843,0.601326813,0.2807605669063254,0.004242568424804517,0.09036208457685513
广东,2016,1.077161563013688,1.520167995,0.4342,0.7015,0.0256,0.7804,0.323120696,0.9384553693730745,0.13870619364061346,2.9542907847536335
广西,2016,0.3208513371341329,0.344899988,0.4517,0.4924,0.0065,0.1721,0.446588925,0.30097972429453407,0.01987161283959881,0.42324370058288013
新疆,2016,0.3060568273263035,0.47262775,0.3779,0.5042,0.0059,0.1209,0.303429136,0.31054980282044475,-0.004492975494141266,-0.09569548230021421
江苏,2016,0.695209746472347,1.478472986,0.4473,0.6893,0.0266,0.4344,0.34879057,0.7944410587573437,-0.09923131228499671,-2.1135188252814867
江西,2016,0.4240433307726532,0.3519577,0.4773,0.5399,0.0113,0.1426,0.498235561,0.3962716126870485,0.027771718085604677,0.5915073340535718
河北,2016,0.2636046900809376,0.717858373,0.4757,0.5387,0.012,0.096,0.61918797,0.26172106738069983,0.001883622700237768,0.040119111044770644
河南,2016,0.3132705829954298,0.736608703,0.4763,0.4878,0.0123,0.1165,0.401763133,0.3452702033793599,-0.03199962038393008,-0.6815570461172163
浙江,2016,0.5261764261021944,1.203758524,0.4486,0.6772,0.0243,0.47,0.185389336,0.5209176861310452,0.005258739971149222,0.11200543125301972
海南,2016,1.023567756208685,1.111663466,0.2235,0.567,0.0054,0.1849,0.095146763,0.8871442150870186,0.13642354112166633,2.9056727733691323
湖北,2016,0.3636995958971085,0.497452662,0.4486,0.5857,0.0186,0.0796,0.47272682,0.3617264666156541,0.0019731292814543742,0.0420255036947496
湖南,2016,0.3746363398444296,0.374257543,0.4228,0.527,0.015,0.0552,0.512916806,0.40338618575861684,-0.02874984591418725,-0.6123403909953521
甘肃,2016,0.3937476182042842,0.322591625,0.3494,0.4607,0.0122,0.0625,0.397060474,0.4122720209681099,-0.01852440276382565,-0.39454959394265143
福建,2016,0.407064553024796,1.137346801,0.4892,0.6439,0.0159,0.3591,0.312261576,0.39399115221068154,0.013073400814114474,0.27844919204257
贵州,2016,0.3542248362213313,0.472858462,0.3965,0.4556,0.0063,0.0319,0.58697613,0.35130350638719493,0.0029213298341363436,0.062221142269798996
辽宁,2016,0.3319782109337806,0.686396728,0.3869,0.6887,0.0169,0.2567,0.37054886,0.3114431451794096,0.020535065754371053,0.43737452474281635
