province,year,eff,lntl,ind,urb,rd,open,es,fitted,resid,std_resid
福建,2015,0.406054422,0.658596102,0.5029,0.6322,0.0151,0.4048,0.319726821,0.4216905883432254,-0.01563616634322542,-0.3314378875208775
贵州,2015,0.366551371,0.32978786,0.3949,0.4296,0.0059,0.0725,0.612603845,0.38320721883958075,-0.016655847839580747,-0.3530519503082412
辽宁,2015,0.335314042,0.636069616,0.4549,0.6805,0.0127,0.2084,0.401743008,0.2576703637399397,0.0776436782600603,1.6458034621136348
重庆,2015,0.447366556,0.438749235,0.4498,0.6147,0.0157,0.2951,0.402290941,0.44686582498717614,0.0005007310128238816,0.010613933458084852
陕西,2015,0.360169321,0.503445683,0.504,0.5474,0.0218,0.1054,0.476405922,0.3626125865753193,-0.0024432655753192957,-0.05178959875207252
青海,2015,1.098537876,0.142472986,0.4995,0.5167,0.0048,0.0498,0.323608988,1.0314584724074896,0.06707940359251044,1.4218738362613186
黑龙江,2015,0.335360121,0.30181524,0.3181,0.6047,0.0105,0.0868,0.413168103,0.32182887455396314,0.013531246446036895,0.28682016033565305
上海,2016,0.522613147,2.76662397,0.2983,0.89,0.0382,1.0172,0.147596607,0.5068002633806574,0.015812883619342567,0.33518374180504446
云南,2016,0.309156284,0.258400419,0.3848,0.4464,0.0089,0.0891,0.528513767,0.2821810778583892,0.02697520614161078,0.5717901141982494
内蒙古,2016,0.335247347,0.165928573,0.4718,0.634,0.0079,0.0424,0.525149093,0.32539734477531973,0.00985000222468023,0.20878928106558706
北京,2016,0.689349619,1.634327739,0.1926,0.8676,0.0596,0.7265,0.072752726,0.8280864859743117,-0.13873686697431165,-2.94078824066447
吉林,2016,0.358224002,0.36482459,0.4741,0.5875,0.0094,0.0824,0.460291495,0.3468385273292976,0.01138547467070238,0.2413365009329806
四川,2016,0.348425751,0.259454828,0.4084,0.5,0.0172,0.099,0.301721479,0.42647533539275573,-0.07804958439275572,-1.654407404294809
天津,2016,0.550621585,1.828517564,0.4233,0.8327,0.03,0.3789,0.263520384,0.6156555577771057,-0.06503397277710571,-1.3785170917980836
宁夏,2016,0.56851275,0.523093121,0.4697,0.5874,0.0095,0.0679,0.514195705,0.5167330523029435,0.05177969769705648,1.0975678593121148
安徽,2016,0.364354877,0.62841041,0.4843,0.5262,0.0197,0.1203,0.478037717,0.3322037167134987,0.03215116028650136,0.681504175179107
山东,2016,0.483493429,0.854192431,0.4608,0.5913,0.0234,0.2275,0.363065762,0.49361988014533403,-0.010126451145334076,-0.21464913470603064
山西,2016,0.285003135,0.522336339,0.3854,0.5727,0.0103,0.0843,0.601326813,0.2843548587801184,0.0006482762198816334,0.013741430996011677
广东,2016,1.077161563,0.984118132,0.4342,0.7015,0.0256,0.7804,0.323120696,0.9499012009310196,0.1272603620689804,2.6975221830867437
广西,2016,0.320851337,0.335343214,0.4517,0.4924,0.0065,0.1721,0.446588925,0.3095581423420261,0.011293194657973925,0.23938045289615664
新疆,2016,0.306056827,0.212122627,0.3779,0.5042,0.0059,0.1209,0.303429136,0.3105545119627074,-0.004497684962707436,-0.0953368728659013
江苏,2016,0.695209746,1.365094483,0.4473,0.6893,0.0266,0.4344,0.34879057,0.7920969586189249,-0.09688721261892497,-2.053706284092815
江西,2016,0.424043331,0.290592877,0.4773,0.5399,0.0113,0.1426,0.498235561,0.39934069802297956,0.024702632977020442,0.5236186614025455
河北,2016,0.26360469,0.583471323,0.4757,0.5387,0.012,0.096,0.61918797,0.26296979819737254,0.0006348918026274544,0.013457723155928157
河南,2016,0.313270583,0.627911024,0.4763,0.4878,0.0123,0.1165,0.401763133,0.3463553497393609,-0.0330847667393609,-0.7012937158963994
浙江,2016,0.526176426,1.073873055,0.4486,0.6772,0.0243,0.47,0.185389336,0.523175699185606,0.0030007268143940474,0.0636060358120278
海南,2016,1.023567756,0.604310726,0.2235,0.567,0.0054,0.1849,0.095146763,0.8855548727705057,0.13801288322949434,2.9254420466093225
湖北,2016,0.363699596,0.413787765,0.4486,0.5857,0.0186,0.0796,0.47272682,0.37050306613963174,-0.006803470139631717,-0.1442123165866601
湖南,2016,0.37463634,0.332724229,0.4228,0.527,0.015,0.0552,0.512916806,0.4010745120833729,-0.026438172083372895,-0.5604066695685335
甘肃,2016,0.393747618,0.213108407,0.3494,0.4607,0.0122,0.0625,0.397060474,0.4126439130623515,-0.018896295062351492,-0.4005424334814956
福建,2016,0.407064553,0.67810419,0.4892,0.6439,0.0159,0.3591,0.312261576,0.4046857972467462,0.002378755753253801,0.050422192018196775
贵州,2016,0.354224836,0.329620718,0.3965,0.4556,0.0063,0.0319,0.58697613,0.3386823546431905,0.01554248135680945,0.3294520584302592
辽宁,2016,0.331978211,0.643900758,0.3869,0.6887,0.0169,0.2567,0.37054886,0.3090333731894997,0.02294483781050034,0.48635889427693857
重庆,2016,0.447845188,0.430616035,0.4452,0.6333,0.0172,0.2333,0.349493658,0.4156429978522776,0.03220219014772242,0.6825858488472131
陕西,2016,0.361914391,0.475703697,0.4892,0.5639,0.0219,0.1019,0.447293981,0.3447406941800638,0.017173696819936184,0.3640287312106915
青海,2016,0.916568795,0.154518535,0.4859,0.5355,0.0054,0.0392,0.310754568,1.014906102853879,-0.09833730785387901,-2.084443773757952
黑龙江,2016,0.335163184,0.257385004,0.286,0.6109,0.0099,0.0711,0.433005381,0.3020207535487502,0.03314243045124983,0.7025160064780911
上海,2017,0.526742504,2.750706116,0.3046,0.891,0.0393,1.0526,0.123679962,0.5509846864803168,-0.024242182480316853,-0.5138585490715902
云南,2017,0.304365536,0.208971659,0.3789,0.4629,0.0096,0.0966,0.508493565,0.2724936264316121,0.03187190956838787,0.6755849321838235
内蒙古,2017,0.341799004,0.149732058,0.3976,0.646,0.0082,0.0585,0.484921791,0.32513946791653403,0.016659536083466004,0.35313012955852324
北京,2017,0.747125917,1.687652627,0.1901,0.8693,0.0564,0.7833,0.044144942,0.8621225630832903,-0.11499664608329033,-2.437569709428505
吉林,2017,0.368495262,0.328379003,0.4683,0.5971,0.0086,0.084,0.391752022,0.34516635441282095,0.023328907587179017,0.4944999739155642
四川,2017,0.385779501,0.267821003,0.3875,0.5178,0.0172,0.1245,0.282747027,0.42609520823491487,-0.04031570723491482,-0.8545670688416322
天津,2017,0.588120634,1.840185483,0.4094,0.8357,0.0247,0.4122,0.235691868,0.6120773585089001,-0.02395672450890013,-0.5078077316943918
宁夏,2017,0.527162305,0.526970399,0.4358,0.6095,0.0113,0.0992,0.558523946,0.5135653674811885,0.013596937518811542,0.2882126058949728
安徽,2017,0.366293474,0.631633313,0.4752,0.5429,0.0209,0.1354,0.43847254,0.34076145007830183,0.025532023921698198,0.5411991588594584
山东,2017,0.524477544,0.86148878,0.4535,0.6079,0.0241,0.2468,0.343575857,0.49931842160384243,0.02515912239615756,0.5332948112613625
山西,2017,0.295347605,0.483191042,0.4365,0.5859,0.0095,0.0749,0.570845106,0.2729721265985518,0.02237547840144819,0.4742902531769327
广东,2017,0.868013692,0.952660724,0.4237,0.7074,0.0261,0.7599,0.189688731,0.96247169434755,-0.09445800234754996,-2.0022146138831673
广西,2017,0.326595153,0.286320749,0.4022,0.5059,0.0077,0.2112,0.42386227,0.31864341665338314,0.007951736346616903,0.16855197361005056
新疆,2017,0.294962747,0.163619033,0.398,0.519,0.0052,0.1279,0.315357467,0.29361663267140187,0.001346114328598158,0.02853341923069678
江苏,2017,0.741986713,1.379468372,0.4502,0.7018,0.0263,0.4658,0.331560618,0.8065052415957866,-0.06451852859578663,-1.3675912851239087
江西,2017,0.422931424,0.26976534,0.4812,0.557,0.0128,0.1505,0.482443162,0.4003911679798549,0.022540256020145092,0.4777830240168441
河北,2017,0.273288833,0.577277178,0.4658,0.5574,0.0133,0.0993,0.588564846,0.26001983767288506,0.013268995327114978,0.28126125574564614
河南,2017,0.33755633,0.628530224,0.4737,0.5056,0.0131,0.1175,0.36931778,0.34290277084317716,-0.005346440843177134,-0.11332784647598192
浙江,2017,0.5653407,1.102093971,0.4295,0.6891,0.0245,0.4946,0.148109777,0.541234379582572,0.02410632041742794,0.5109786976981983
海南,2017,0.942179608,0.565635042,0.2233,0.5804,0.0052,0.1575,0.099196021,0.8590378933284958,0.08314171467150419,1.7623446611340297
湖北,2017,0.377823351,0.382145719,0.4352,0.5988,0.0197,0.0884,0.460921051,0.3721323264962687,0.005691024503731275,0.12063194378611096
湖南,2017,0.385803634,0.320556348,0.4175,0.5462,0.0168,0.0718,0.546988503,0.3986873440575155,-0.012883710057515485,-0.2730944114536435
甘肃,2017,0.393864769,0.172491054,0.3434,0.4812,0.0119,0.0437,0.364730401,0.3789441798705257,0.014920589129474327,0.3162698856668625
福建,2017,0.405297621,0.652953535,0.4771,0.6578,0.0169,0.3601,0.288372825,0.40323322547890555,0.0020643955210944203,0.04375873698833775
贵州,2017,0.347159913,0.355476009,0.4009,0.4776,0.0071,0.0407,0.558226877,0.33581630299293785,0.011343610007062147,0.2404491008264511
辽宁,2017,0.340707104,0.615884087,0.393,0.6949,0.0184,0.2883,0.356825877,0.34083496053892426,-0.0001278565389243036,-0.002710159270284211
重庆,2017,0.449897459,0.494959841,0.4419,0.65,0.0188,0.2321,0.346142945,0.42707708604144623,0.02282037295855375,0.4837206281767797
陕西,2017,0.366816448,0.454795006,0.497,0.5807,0.021,0.1242,0.426510518,0.3369594560404625,0.029856991959537484,0.632874972392731
青海,2017,0.939880187,0.092724868,0.4429,0.5545,0.0068,0.017,0.242700133,0.9902983184165184,-0.05041813141651835,-1.0687069069638593
黑龙江,2017,0.338899161,0.263946458,0.2553,0.619,0.0092,0.0806,0.423307433,0.3052112675611157,0.033687893438884314,0.7140781180835825
上海,2018,0.539382332,2.839895937,0.2978,0.8913,0.0416,1.0408,0.133086962,0.5877075029116794,-0.048325170911679476,-1.0243426815417516
云南,2018,0.299643768,0.370864284,0.3891,0.4744,0.0105,0.1102,0.496666828,0.30737838070927653,-0.007734612709276556,-0.16394963067564453
内蒙古,2018,0.348335889,0.296871096,0.3937,0.6551,0.0075,0.0598,0.492439433,0.3406636468808179,0.007672242119182099,0.1626275689777472
北京,2018,0.885499049,1.734540572,0.1863,0.8709,0.0617,0.8966,0.016323334,0.9729751437099875,-0.08747609470998755,-1.854219979682939
吉林,2018,0.392802798,0.490929682,0.4253,0.6085,0.0076,0.0904,0.337867831,0.36155001377181717,0.03125278422818285,0.6624614087853211
四川,2018,0.430470874,0.396095847,0.3767,0.535,0.0181,0.1462,0.294511973,0.4420672947145747,-0.011596420714574666,-0.24580789818133503
天津,2018,0.672082474,1.921635006,0.4046,0.8395,0.0262,0.4296,0.22606132,0.6509916948374939,0.02109077916250615,0.4470586420193095
宁夏,2018,0.51980504,0.665307585,0.4454,0.6215,0.0123,0.0672,0.553266134,0.5218835862735081,-0.0020785462735080137,-0.0440586887401824
安徽,2018,0.369762786,0.796259296,0.4613,0.5565,0.0216,0.138,0.400115201,0.3656029535478885,0.004159832452111514,0.08817545491040317
山东,2018,0.535723521,1.004488365,0.4399,0.6146,0.0215,0.2524,0.302448546,0.5116665284919341,0.02405699250806588,0.5099331000935229
山西,2018,0.307449235,0.62745591,0.4215,0.5985,0.0105,0.0814,0.547796458,0.29801354171332384,0.009435693286676176,0.200007225657704
广东,2018,0.9388332,1.062789731,0.4183,0.7181,0.0278,0.7361,0.171627155,0.9765516457111373,-0.0377184457111372,-0.7995132369825796
广西,2018,0.339927313,0.414190821,0.3967,0.5182,0.0071,0.2017,0.40317647,0.32334560535852835,0.016581707641471675,0.3514804096823454
新疆,2018,0.296402016,0.325630715,0.4036,0.5401,0.0053,0.1087,0.278665532,0.29143202655042927,0.004969989449570715,0.10534825276276634
江苏,2018,0.801294222,1.511884306,0.4455,0.7119,0.027,0.473,0.301319363,0.8345801900544683,-0.03328596805446824,-0.7055585553322176
江西,2018,0.427352685,0.436895052,0.4662,0.5734,0.0141,0.1438,0.437386791,0.420925110284721,0.006427574715278967,0.13624450768507404
河北,2018,0.281944977,0.712887605,0.4454,0.5733,0.0139,0.0987,0.573307962,0.26932749041035275,0.01261748658964723,0.26745130547345164
河南,2018,0.371070156,0.780375705,0.4585,0.5224,0.014,0.1147,0.337963641,0.3571600392049015,0.013910116795098442,0.2948510283490048
浙江,2018,0.60798196,1.248463654,0.4183,0.7002,0.0257,0.5073,0.127407298,0.5740742894653943,0.03390767053460576,0.7187367060476937
海南,2018,0.906495004,0.733063416,0.2268,0.5913,0.0056,0.1755,0.101810757,0.8919585855227158,0.014536418477284235,0.30812666778247555
湖北,2018,0.413035271,0.542765316,0.4341,0.61,0.0209,0.0885,0.392890652,0.4084967324502095,0.004538538549790491,0.09620284130747725
湖南,2018,0.428155679,0.472199797,0.3968,0.5609,0.0181,0.0844,0.472482466,0.431409901140019,-0.0032542221400189766,-0.06897934493251678
甘肃,2018,0.400132246,0.32419197,0.3389,0.4969,0.0118,0.048,0.319567599,0.3944706776814256,0.0056615683185744356,0.12000756466603102
福建,2018,0.410912519,0.811292235,0.4813,0.6698,0.018,0.3448,0.285752506,0.4226495394492714,-0.011737020449271437,-0.24878817339912096
贵州,2018,0.34549139,0.488576555,0.3887,0.4954,0.0082,0.0338,0.475500718,0.3507803350884481,-0.005288945088448082,-0.11210911606147261
辽宁,2018,0.353519981,0.739182936,0.396,0.7026,0.0182,0.2985,0.349039977,0.36514211452289047,-0.011622133522890505,-0.24635292940467723
重庆,2018,0.463828533,0.627281838,0.409,0.6661,0.0201,0.2564,0.306731459,0.45322778615077125,0.010600746849228725,0.224702722184472
陕西,2018,0.369921668,0.589001449,0.4975,0.5965,0.0218,0.1438,0.397156775,0.3614020830759065,0.008519584924093484,0.18058858979967793
