province,year,Population,GDP,Capital,Carbon
山西,2016,3514,13050.41,33922.6278,275.9303098
内蒙古,2016,2436,18128.1,52854.41421,484.8689767
辽宁,2016,4327,22246.9,61342.04015,215.7348436
吉林,2016,2567,14776.8,44743.07657,142.223606
黑龙江,2016,3463,15386.09,36822.9623,183.3778914
上海,2016,2467,28178.65,43428.84068,61.81090983
江苏,2016,8381,77388.28,119910.2273,396.8949543
浙江,2016,6072,47251.36,78783.76611,227.013246
安徽,2016,6033,24407.62,42352.84347,215.6541851
福建,2016,4016,28810.58,57766.09769,109.2501499
江西,2016,4496,18499,30194.64066,106.9992315
山东,2016,9973,68024.49,130503.6369,519.025061
河南,2016,9778,40471.79,103678.7814,252.8170109
湖北,2016,5885,32665.38,59333.81677,158.2442906
湖南,2016,6625,31551.37,52493.30211,155.3241705
广东,2016,11908,80854.91,121169.5669,258.4292142
广西,2016,4857,18317.64,46458.30355,88.99854059
海南,2016,957,4053.2,8702.385223,17.52880712
重庆,2016,3110,17740.59,30618.00949,71.2037695
四川,2016,8251,32934.54,55070.5793,52.26548195
贵州,2016,3758,11776.73,23586.83265,132.6959688
云南,2016,4677,14788.42,40068.19804,76.53142527
陕西,2016,3874,19399.59,41684.81671,153.8950233
甘肃,2016,2520,7200.37,16260.26169,91.10134411
青海,2016,582,2572.49,9840.284128,27.84178996
宁夏,2016,695,3168.59,11082.27942,102.6377437
新疆,2016,2428,9649.7,27737.45246,262.120602
北京,2015,2188,23014.59,35954.11872,18.63324401
天津,2015,1439,16538.19,40567.07688,68.94183083
河北,2015,7345,29806.11,67580.75906,305.2749432
山西,2015,3519,12766.49,31644.80639,273.1216636
内蒙古,2015,2440,17831.51,49569.99536,481.0345255
辽宁,2015,4338,28669.02,61290.32846,216.5606448
吉林,2015,2613,14063.13,41474.69151,144.8277051
黑龙江,2015,3529,15083.67,34031.89654,166.1174574
上海,2015,2458,25123.45,39515.12658,62.66165987
江苏,2015,8315,70116.38,109499.7707,382.6525488
浙江,2015,5985,42886.49,71309.26018,224.4441096
安徽,2015,6011,22005.63,37656.29791,210.6206966
福建,2015,3984,25979.82,51170.85001,125.2238247
江西,2015,4485,16723.78,26894.49297,103.2553095
山东,2015,9866,63002.33,119667.4973,511.1574623
河南,2015,9701,37002.16,92571.38708,251.4205008
湖北,2015,5850,29550.19,52578.02477,156.5767115
湖南,2015,6615,28902.21,47413.36564,143.4174142
广东,2015,11678,72812.55,108340.8132,260.8545483
广西,2015,4811,16803.12,41940.23191,83.03859517
海南,2015,945,3702.76,7838.793832,18.50584707
重庆,2015,3070,15717.27,27071.29599,62.8901337
四川,2015,8196,30053.1,49857.7805,72.86622631
贵州,2015,3708,10502.56,19919.55644,135.0867134
云南,2015,4663,13619.17,34595.77366,78.56604319
陕西,2015,3846,18021.86,37685.9528,153.1407673
甘肃,2015,2523,6790.32,14315.16134,94.49228668
青海,2015,577,2417.05,8377.732105,25.15324246
宁夏,2015,684,2911.77,9475.331555,112.0463989
新疆,2015,2385,9324.8,24582.97479,233.7016273
