province,year,eff,lntl,ind,urb,rd,open
甘肃,2021,0.247267898,0.318286927,0.3384 ,0.5333,0.0126,0.0480 
甘肃,2018,0.259337,0.461733585,0.3389 ,0.4969,0.0118,0.0480 
宁夏,2021,0.506562041,0.690231123,0.4470 ,0.6604,0.0156,0.0473 
内蒙古,2015,0.446768355,0.348894406,0.5048 ,0.6209,0.0076,0.0445 
甘肃,2017,0.272446653,0.445784714,0.3434 ,0.4812,0.0119,0.0437 
甘肃,2019,0.257574688,0.462002393,0.3283 ,0.507,0.0126,0.0436 
甘肃,2020,0.258811917,0.492763806,0.3163 ,0.5223,0.0122,0.0424 
内蒙古,2016,0.474429735,0.341399542,0.4718 ,0.634,0.0079,0.0424
宁夏,2022,0.48502213,0.731129463,0.4831 ,0.6634,0.0157,0.0423 
贵州,2017,0.261474698,0.561774114,0.4009 ,0.4776,0.0071,0.0407 
青海,2016,0.923801317,0.205234075,0.4859 ,0.5355,0.0054,0.0392
贵州,2022,0.321704596,0.42375074,0.3527 ,0.5481,0.0099,0.0362 
贵州,2018,0.284912839,0.550188723,0.3887 ,0.4954,0.0082,0.0338 
贵州,2021,0.310357738,0.46986279,0.3566 ,0.5433,0.0092,0.0334 
贵州,2016,0.247726632,0.472858462,0.3965 ,0.4556,0.0063,0.0319
宁夏,2020,0.539478352,0.808717012,0.4104 ,0.6496,0.0152,0.0315 
贵州,2020,0.312239372,0.582417501,0.3484 ,0.5315,0.0091,0.0307 
贵州,2019,0.291097372,0.605872927,0.3613 ,0.5148,0.0086,0.0270 
青海,2017,1.012754363,0.360255076,0.4429 ,0.5545,0.0068,0.0170 
青海,2018,1.000030488,0.358926407,0.4352 ,0.5727,0.006,0.0168 
青海,2019,1.000642085,0.369343457,0.3910 ,0.5878,0.0069,0.0127 
青海,2022,1.003672727,0.205893713,0.4392 ,0.6143,0.008,0.0112 
青海,2021,1.002328121,0.208673474,0.3982 ,0.6102,0.008,0.0095 
青海,2020,1.084469078,0.393029254,0.3804 ,0.6008,0.0071,0.0077 
