province,year,eff,lntl,ind,urb,rd,open,es_proxy
陕西,2015,0.302651164,0.545665072,0.5040 ,0.5474,0.0218,0.1054 ,0.7567092955356611
青海,2015,1.054460454,0.245365364,0.4995 ,0.5167,0.0048,0.0498 ,0.6319911304792234
黑龙江,2015,0.31187959,0.28203587,0.3181 ,0.6047,0.0105,0.0868 ,0.7445082100001603
上海,2016,0.397167407,2.750706116,0.2983 ,0.89,0.0382,1.0172,0.5010809045009849
云南,2016,0.393020201,0.221046923,0.3848 ,0.4464,0.0089,0.0891,0.6362969609986362
内蒙古,2016,0.474429735,0.341399542,0.4718 ,0.634,0.0079,0.0424,0.9193238493256211
北京,2016,0.735120802,1.687652627,0.1926 ,0.8676,0.0596,0.7265,0.1515514413753775
吉林,2016,0.482543824,0.349187677,0.4741 ,0.5875,0.0094,0.0824,0.8382079318655073
四川,2016,0.350972612,0.498504931,0.4084 ,0.5,0.0172,0.099,0.5591180354372114
天津,2016,0.654795856,1.840185483,0.4233 ,0.8327,0.03,0.3789,0.6843895591212158
宁夏,2016,0.57817633,0.635882737,0.4697 ,0.5874,0.0095,0.0679,0.8960664234742238
安徽,2016,0.234575249,0.840527124,0.4843 ,0.5262,0.0197,0.1203,0.7684906309890597
山东,2016,0.608513491,0.868744765,0.4608 ,0.5913,0.0234,0.2275,0.8274324851575731
山西,2016,0.332680392,0.551634543,0.3854 ,0.5727,0.0103,0.0843,0.8943467264801259
广东,2016,0.547285572,1.520167995,0.4342 ,0.7015,0.0256,0.7804,0.5885077182345452
广西,2016,0.38454986,0.344899988,0.4517 ,0.4924,0.0065,0.1721,0.6681811321975638
新疆,2016,0.372923294,0.47262775,0.3779 ,0.5042,0.0059,0.1209,0.7960221739749741
江苏,2016,0.582116041,1.478472986,0.4473 ,0.6893,0.0266,0.4344,0.7876881949195569
江西,2016,0.230486721,0.3519577,0.4773 ,0.5399,0.0113,0.1426,0.7233793366326317
河北,2016,0.446121028,0.717858373,0.4757 ,0.5387,0.012,0.096,0.8878132674845839
河南,2016,0.662440156,0.736608703,0.4763 ,0.4878,0.0123,0.1165,0.7695085377131916
