province,year,eff,lntl,ind,urb,rd,open,es
湖南,2019,0.361288077,0.559733908,0.3760 ,0.5745,0.0198,0.1092 ,0.452040599804201
甘肃,2019,0.257574688,0.462002393,0.3283 ,0.507,0.0126,0.0436 ,0.320141132424678
福建,2019,0.654246398,1.392155418,0.4855 ,0.6787,0.0178,0.3139 ,0.27783074285179
贵州,2019,0.291097372,0.605872927,0.3613 ,0.5148,0.0086,0.0270 ,0.458284778057682
辽宁,2019,0.448906689,0.858906763,0.3826 ,0.7121,0.0204,0.2914 ,0.344066159921626
重庆,2019,0.338509507,0.674275148,0.4023 ,0.6824,0.0199,0.2454 ,0.281069420420115
陕西,2019,0.347751421,0.720031321,0.4645 ,0.6128,0.0227,0.1363 ,0.383462433127136
青海,2019,1.000642085,0.369343457,0.3910 ,0.5878,0.0069,0.0127 ,0.23938871707874
黑龙江,2019,0.438821721,0.41452451,0.2656 ,0.6462,0.0108,0.1371 ,0.381421587564558
上海,2020,0.560298312,2.863517251,0.2659 ,0.893,0.0417,0.9011 ,0.140362444253489
云南,2020,0.52893774,0.428757989,0.3380 ,0.5005,0.01,0.1098 ,0.465373114337118
内蒙古,2020,0.468954323,0.539418373,0.3956 ,0.6748,0.0093,0.0607 ,0.48110701761782
北京,2020,1.04127863,1.886219282,0.1583 ,0.8755,0.0644,0.6457 ,0.0106244026003874
吉林,2020,0.908127919,0.599725883,0.3514 ,0.6264,0.013,0.1042 ,0.313532217826301
四川,2020,0.54719613,0.711758234,0.3616 ,0.5673,0.0217,0.1664 ,0.258091057175114
天津,2020,1.021638421,2.035129919,0.3411 ,0.847,0.0344,0.5231 ,0.227009037964877
宁夏,2020,0.539478352,0.808717012,0.4104 ,0.6496,0.0152,0.0315 ,0.524535008756213
安徽,2020,0.283380091,1.066999188,0.4052 ,0.5833,0.0228,0.1409 ,0.399026251911193
山东,2020,0.767725424,1.179364949,0.2819 ,0.6305,0.023,0.3026 ,0.302354312967543
山西,2020,0.295437985,0.818521391,0.4348 ,0.6253,0.012,0.0852 ,0.528212004606247
广东,2020,1.005531847,1.828313946,0.3923 ,0.7415,0.0314,0.6399 ,0.173120933094256
广西,2020,0.371740674,0.572866091,0.3208 ,0.542,0.0078,0.2198 ,0.427856273218867
