province,year,ntl,lntl,lntl_1
青海,2019,0.29603132,0.2593067643047404,0.2537696517515147
黑龙江,2019,0.48642846,0.396376235826322,0.3807085033036681
上海,2020,16.55462155,2.8653172514273244,2.854096616771854
云南,2020,0.51884781,0.4179520276791151,0.36728651948776764
内蒙古,2020,0.41406677,0.3464697870101577,0.30275334806456383
北京,2020,5.59438996,1.8862192815117789,1.8596835419752884
吉林,2020,0.76710725,0.5693438875907023,0.5218871765872324
四川,2020,0.59394771,0.46621377556395416,0.44200588729030815
天津,2020,6.65324636,2.035129918607186,2.014417111841084
宁夏,2020,1.03602255,0.7109981742654489,0.6623473686843938
安徽,2020,1.46527502,0.9023033712509022,0.8590738518545045
山东,2020,2.22956668,1.1723479734362436,1.1126075564354503
山西,2020,1.07787657,0.7313464924528195,0.6864760630548369
广东,2020,2.49224889,1.2505459097788123,1.1702937909902098
广西,2020,0.67082805,0.5133193418648153,0.44855070833883337
新疆,2020,0.46144978,0.37942894302188435,0.3268743669320248
江苏,2020,4.16581018,1.6420619499025555,1.5870004302745673
江西,2020,0.69083001,0.525219538547545,0.4753695693042668
河北,2020,1.31180039,0.8380266105777302,0.7794767276563942
河南,2020,1.51565432,0.92253293671215,0.8747904990689712
浙江,2020,2.83332662,1.3437329953952133,1.317371897868507
海南,2020,1.28474531,0.8262545564270669,0.7604144487161567
湖北,2020,0.85553566,0.6181734198733188,0.5926185226532794
湖南,2020,0.66778837,0.5114984193882502,0.5044428209504449
甘肃,2020,0.4348991,0.36109453315061796,0.33415703002612
福建,2020,1.47804872,0.9074714440306247,0.865206863976399
贵州,2020,0.63967735,0.49449948467580834,0.5202723545666096
辽宁,2020,1.22746981,0.8008663269600937,0.783250934968083
重庆,2020,1.0216075,0.7038929870176922,0.6742751487254606
陕西,2020,0.90571227,0.6448558337104655,0.6196737309003942
青海,2020,0.32304649,0.2799370243491405,0.2593067643047404
黑龙江,2020,0.55419715,0.4409591100504922,0.396376235826322
上海,2021,16.57119443,2.866260881106373,2.8653172514273244
云南,2021,0.31015592,0.27014615303116,0.4179520276791151
内蒙古,2021,0.09165122,0.08769143070067807,0.3464697870101577
北京,2021,5.64451523,1.8937917369081017,1.8862192815117789
吉林,2021,0.47517947,0.3887796569663035,0.5693438875907023
四川,2021,0.3674064,0.3129158069019904,0.46621377556395416
天津,2021,7.02585897,2.082668700048179,2.035129918607186
宁夏,2021,0.78048725,0.5768870628001991,0.7109981742654489
安徽,2021,1.31726453,0.8403874081177239,0.9023033712509022
山东,2021,2.18251118,1.1576705644047625,1.1723479734362436
山西,2021,0.85829583,0.619659847308511,0.7313464924528195
广东,2021,2.72091955,1.3139708285986433,1.2505459097788123
广西,2021,0.47486691,0.38856775521229137,0.5133193418648153
新疆,2021,0.10561576,0.10040242863299964,0.37942894302188435
江苏,2021,4.2085565,1.6503027540364061,1.6420619499025555
江西,2021,0.54413577,0.4344643816744462,0.525219538547545
河北,2021,1.13187026,0.7569996507934025,0.8380266105777302
河南,2021,1.39461832,0.8732238528184052,0.92253293671215
浙江,2021,3.17903825,1.4300811363312849,1.3437329953952133
海南,2021,1.30651288,0.8357368082186594,0.8262545564270669
湖北,2021,0.71410411,0.538890559287757,0.6181734198733188
湖南,2021,0.46435202,0.3814128374551268,0.5114984193882502
甘肃,2021,0.1615138,0.14972415434586486,0.36109453315061796
福建,2021,1.48315285,0.9095290632298463,0.9074714440306247
贵州,2021,0.42989311,0.35759969322627794,0.49449948467580834
辽宁,2021,0.99064756,0.6884599928381906,0.8008663269600937
重庆,2021,0.80938241,0.5929855771076247,0.7038929870176922
陕西,2021,0.69400049,0.5270928854860192,0.6448558337104655
青海,2021,0.03846621,0.03774482649124719,0.2799370243491405
黑龙江,2021,0.18797566,0.1722507325150786,0.4409591100504922
上海,2022,16.78163344,2.8781660953823236,2.866260881106373
云南,2022,0.2986309,0.26131055566515504,0.27014615303116
内蒙古,2022,0.09900142,0.09440196750436204,0.08769143070067807
北京,2022,5.88795787,1.9297746506723457,1.8937917369081017
吉林,2022,0.43520615,0.3613084974302704,0.3887796569663035
四川,2022,0.39448229,0.3325232281123277,0.3129158069019904
天津,2022,7.22715919,2.10744077770179,2.082668700048179
宁夏,2022,0.85162381,0.6160629892411446,0.5768870628001991
安徽,2022,1.42034435,0.8839098234342807,0.8403874081177239
山东,2022,2.30190163,1.1944985540184387,1.1576705644047625
山西,2022,0.90533749,0.644659152992653,0.619659847308511
广东,2022,2.75123343,1.3220847005684155,1.3139708285986433
广西,2022,0.47107468,0.3859932085155481,0.38856775521229137
新疆,2022,0.10829372,0.10282164344758696,0.10040242863299964
江苏,2022,4.30998126,1.6695883060574126,1.6503027540364061
江西,2022,0.56661535,0.44891746419228706,0.4344643816744462
河北,2022,1.2038916,0.7902247067780445,0.7569996507934025
河南,2022,1.46225961,0.9010794689943664,0.8732238528184052
浙江,2022,3.28733002,1.455664166225106,1.4300811363312849
海南,2022,1.20175859,0.7892564001378559,0.8357368082186594
湖北,2022,0.80508037,0.5906051171093667,0.538890559287757
湖南,2022,0.49065884,0.39921819672367753,0.3814128374551268
甘肃,2022,0.17000228,0.15700569752571478,0.14972415434586486
福建,2022,1.47960356,0.9080986925600347,0.9095290632298463
贵州,2022,0.38247738,0.3238770926168466,0.35759969322627794
辽宁,2022,0.94351373,0.6644975358594086,0.6884599928381906
重庆,2022,0.87765831,0.6300254206753588,0.5929855771076247
陕西,2022,0.74127134,0.5546155016003115,0.5270928854860192
青海,2022,0.03781911,0.037121501734559526,0.03774482649124719
黑龙江,2022,0.17428803,0.16066203203029555,0.1722507325150786
