year,province,Population,Capital,energy_total,GDP_constant,Carbon
2021,海南,1020,10968.51759,5506.148453,5486.991379,19.56094267
2021,湖北,5830,86758.14936,12875.72658,42800.56526,168.6322712
2021,湖南,6622,76144.28543,11895.72175,43714.21181,134.0997556
2021,甘肃,2490,18850.98862,5529.058402,9491.029036,120.5037392
2021,福建,4187,89360.10601,9827.975023,39578.18907,165.8513139
2021,贵州,3852,40186.09152,7575.215865,17070.02808,139.2245273
2021,辽宁,4229,61482.59838,17970.5774,34569.75309,244.5061191
2021,重庆,3212,45296.8317,6506.294595,24111.71105,72.86940447
2021,陕西,3954,59419.54283,9883.37489,26167.99595,208.9890799
2021,青海,594,15056.53023,2960.183666,3424.350349,25.7694656
2021,黑龙江,3125,47016.20174,8947.452078,19907.42978,196.4677946
2022,上海,2475,63634.75115,7411.479579,35593.84836,64.1893738
2022,云南,4693,72325.3176,8784.566314,22210.8535,95.74842497
2022,内蒙古,2401,51774.89829,18994.71443,24441.56791,712.8875148
2022,北京,2184,52879.36793,4782.957726,32798.29173,1.373455439
2022,吉林,2348,52431.33373,4850.799762,18246.00341,127.9172619
2022,四川,8374,84194.56225,14042.3397,46990.05356,87.74410566
2022,天津,1363,55243.82815,5631.068546,22178.80496,54.97914654
2022,宁夏,728,14509.76046,5999.113588,4458.083656,202.5822098
2022,安徽,6127,69753.39416,11363.53041,35092.12458,263.7364841
2022,山东,10163,165339.7861,33103.34918,95273.25674,540.1258449
2022,山西,3481,39502.3784,14230.14059,19105.18342,346.2160555
2022,广东,12657,200497.4503,21626.86518,107446.5591,315.7222128
2022,广西,5047,57246.45968,9050.22203,25076.03314,123.0166074
2022,新疆,2587,41723.26299,13886.79002,13889.54384,396.8347469
2022,江苏,8515,170772.722,24214.92157,106197.5584,402.2600562
2022,江西,4528,49685.4055,7366.637662,27530.6249,125.545426
2022,河北,7420,102523.6543,24555.43634,44373.60606,299.4510344
2022,河南,9872,153660.6202,16304.67486,55114.89136,306.9729687
2022,浙江,6577,119669.6154,35802.62875,65941.74231,273.1163147
2022,海南,1027,11227.78782,1894.485974,5497.965362,19.6595111
2022,湖北,5844,92821.78289,13126.57701,44640.98957,184.8221827
2022,湖南,6604,81416.03964,11873.35162,45681.35134,135.0056402
2022,甘肃,2492,19679.54725,5554.942461,9918.125343,126.4800095
2022,福建,4188,95272.00659,10485.59492,41438.36396,158.7935928
2022,贵州,3856,41984.43864,7315.908512,17274.86841,131.5289748
2022,辽宁,4197,61630.11254,17939.29964,35295.7179,232.3958619
2022,重庆,3213,47634.15332,6349.81331,24738.61554,77.6693005
2022,陕西,3956,62237.27551,11022.46445,27293.21978,224.6851902
2022,青海,595,15337.19042,2998.517181,3503.110407,26.67206014
2022,黑龙江,3099,48705.62645,8627.230807,20444.93039,184.8985254
