province,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,贵州,辽宁,重庆,陕西,青海,黑龙江
山西,6.558565326820718e-05,0.00042754268795291614,0.0001829146251682531,7.935141380781975e-05,0.0011780316516813204,4.328890493239196e-05,0.00025266918423399315,8.307489291096659e-05,7.667655669137405e-05,1.573492931467823e-05,0.0,1.3222159038386994e-05,0.00018722289770787537,0.00024759991153564665,1.3709605470101516e-05,0.00015500789491441894,4.661136913954143e-05,3.212688339110145e-05,2.565802750449533e-05,9.001365677141509e-05,4.64314159945496e-05,4.617713376282255e-05,0.00013453177385753352,5.529314228139568e-05,0.0006714801345199993,6.372303637149386e-05,0.00020606242771491017,0.0001401032358504119,7.856956341627929e-05,0.0004538871732098737
广东,1.6560849326493068e-05,1.3644116140282043e-05,1.425240801539582e-05,1.5865852669079614e-05,1.3372248379812023e-05,1.903673871563958e-05,1.3952280824170648e-05,1.1406677815469117e-05,1.597729494862708e-05,8.279695912494145e-05,1.3222159038386994e-05,0.0,1.4226898966350617e-05,1.2551872627226957e-05,0.0003718779584489517,1.4455184974009e-05,1.845814662559722e-05,2.2469873333215968e-05,2.7280323943624898e-05,1.1528701314775927e-05,1.848651920962403e-05,1.852713927576429e-05,1.2038938489127247e-05,1.7377647599863657e-05,1.296682837675326e-05,1.668398978012321e-05,1.4128740899303488e-05,1.460002793758781e-05,1.1317570204434772e-05,1.3618890079005447e-05
广西,0.00010094881801624632,0.0003330802712949302,0.007948848602821388,0.00013772315994170788,0.0002226004751521225,5.6308270643789494e-05,0.0007228134603923622,5.7542172808564535e-05,0.00012986053629652347,1.7178692412799708e-05,0.00018722289770787537,1.4226898966350617e-05,0.0,0.00010660980041632436,1.4792826701869028e-05,0.0009008544074802988,6.206258964175474e-05,3.878170712059688e-05,2.9732764633876973e-05,6.0787862862021464e-05,6.17439644884182e-05,6.129511832973444e-05,7.828146958316257e-05,7.846707733090328e-05,0.000146402716445453,9.660263089462164e-05,0.0020478008109066,0.0005566791602518528,5.534401266395312e-05,0.0003186706267302464
新疆,5.185105500435844e-05,0.00015679581142568374,0.00010519887518080451,6.009274627776726e-05,0.0002045974151163597,3.684682402670831e-05,0.00012505443209094065,0.00012502254251380514,5.8546057188309574e-05,1.4794727100119596e-05,0.00024759991153564665,1.2551872627226957e-05,0.00010660980041632436,0.0,1.2990330932000008e-05,9.53283579038031e-05,3.92268129523122e-05,2.843708085825609e-05,2.3248822568917123e-05,0.00014142967917441212,3.909928438337796e-05,3.891881417429506e-05,0.0002946016091702802,4.5199376363616005e-05,0.00039222972172314177,5.0679907390157384e-05,0.00011246478814467673,8.947450913489084e-05,0.00011509067553672114,0.00016020597724147496
江苏,1.733272808879686e-05,1.416378202123223e-05,1.4820407516525027e-05,1.657292211090524e-05,1.3871032699584502e-05,2.0063822289382585e-05,1.4496153902761534e-05,1.1767628342671338e-05,1.66945567580454e-05,0.00010651119996528658,1.3709605470101516e-05,0.0003718779584489517,1.4792826701869028e-05,1.2990330932000008e-05,0.0,1.5039793421314512e-05,1.942216495579297e-05,2.391487483466529e-05,2.9439990754853718e-05,1.1897540576614135e-05,1.9453581097776768e-05,1.949856730456229e-05,1.2441718710019277e-05,1.8229501961801302e-05,1.3435297098016796e-05,1.7467661631383684e-05,1.4686733229145406e-05,1.5196652575088513e-05,1.1672815537833533e-05,1.4136599701340836e-05
江西,0.00011368865130795403,0.0002431707574169161,0.0010159990345875584,0.000162578214489019,0.00017849459043528773,6.0062501708975256e-05,0.00040103626145763783,5.4087338223770076e-05,0.00015173328978719422,1.7512646903097135e-05,0.00015500789491441894,1.4455184974009e-05,0.0009008544074802988,9.53283579038031e-05,1.5039793421314512e-05,0.0,6.665462899064387e-05,4.052636369835442e-05,3.074759109357197e-05,5.694530686662357e-05,6.628724860862781e-05,6.577019421729616e-05,7.202290157064307e-05,8.595391716796092e-05,0.00012593615203359103,0.00010820604734634565,0.0006256310926565863,0.0014570683949634872,5.214074472999677e-05,0.00023539970937151692
河北,0.00016111475268381273,5.2314811271394594e-05,6.255097173131621e-05,0.00011297107496998688,4.85316279209924e-05,0.0006073068065288172,5.7155107711488916e-05,2.9858478750762698e-05,0.00011887500392701715,2.375359992379912e-05,4.661136913954143e-05,1.845814662559722e-05,6.206258964175474e-05,3.92268129523122e-05,1.942216495579297e-05,6.665462899064387e-05,0.0,0.00010338496285288661,5.7077091197912296e-05,3.07093064055986e-05,0.012026640994198281,0.0049567113667442365,3.461743054978383e-05,0.00029686206073945665,4.358582194675265e-05,0.00017357852573581298,6.02369903958321e-05,6.984996528161609e-05,2.9255533161136487e-05,5.194588621948906e-05
河南,6.297489843219455e-05,3.473713979592373e-05,3.897184720752904e-05,5.3982826209752245e-05,3.302760102923944e-05,0.00012459549515711122,3.6806877353623386e-05,2.3167502124973335e-05,5.529510349158678e-05,3.0839168832651846e-05,3.212688339110145e-05,2.2469873333215968e-05,3.878170712059688e-05,2.843708085825609e-05,2.391487483466529e-05,4.052636369835442e-05,0.00010338496285288661,0.0,0.00012742785928951492,2.3676481623988746e-05,0.00010428140007741602,0.00010558725663133985,2.593376595294998e-05,7.668032817962775e-05,3.0659961359127293e-05,6.479341203672302e-05,3.8060901308129054e-05,4.168579710616122e-05,2.280285659355286e-05,3.457409490280857e-05
浙江,4.214621989833821e-05,2.7296145203953852e-05,2.9844397966541527e-05,3.791902314560426e-05,2.6229313033432796e-05,6.299788073152659e-05,2.8558036406726937e-05,1.9603427178246544e-05,3.856185648415854e-05,4.068560457777202e-05,2.565802750449533e-05,2.7280323943624898e-05,2.9732764633876973e-05,2.3248822568917123e-05,2.9439990754853718e-05,3.074759109357197e-05,5.7077091197912296e-05,0.00012742785928951492,0.0,1.9966622736400825e-05,5.7349264383670395e-05,5.774199681257708e-05,2.1548312842114272e-05,4.787270021211009e-05,2.471368904867241e-05,4.295302874097735e-05,2.9307242128160772e-05,3.1410425398093364e-05,1.9341711741984312e-05,2.7195368860224472e-05
海南,3.794107108129289e-05,7.43584368365155e-05,6.032652303877686e-05,4.217345939393098e-05,8.362393366660845e-05,2.9231190914791424e-05,6.636946617935026e-05,0.0010776955445096325,4.140577369871831e-05,1.3393640322536519e-05,9.001365677141509e-05,1.1528701314775927e-05,6.0787862862021464e-05,0.00014142967917441212,1.1897540576614135e-05,5.694530686662357e-05,3.07093064055986e-05,2.3676481623988746e-05,1.9966622736400825e-05,0.0,3.0631091750106196e-05,3.0520218385614645e-05,0.0002720172754260015,3.425261559386263e-05,0.00010394818045493771,3.731017889817683e-05,6.264752073439132e-05,5.4803471577937524e-05,0.0006179898655631829,7.511671608161901e-05
