province,year,ind,urb,rd,open,es,eff,lntl_1,lntl
陕西,2016,0.4892,0.5639,0.0219,0.1019,0.447293981,0.361914391,0.454795006,0.475703697
青海,2016,0.4859,0.5355,0.0054,0.0392,0.310754568,0.916568795,0.092724868,0.154518535
黑龙江,2016,0.286,0.6109,0.0099,0.0711,0.433005381,0.335163184,0.263946458,0.257385004
上海,2017,0.3046,0.891,0.0393,1.0526,0.123679962,0.526742504,2.839895937,2.750706116
云南,2017,0.3789,0.4629,0.0096,0.0966,0.508493565,0.304365536,0.370864284,0.208971659
内蒙古,2017,0.3976,0.646,0.0082,0.0585,0.484921791,0.341799004,0.296871096,0.149732058
北京,2017,0.1901,0.8693,0.0564,0.7833,0.044144942,0.747125917,1.734540572,1.687652627
吉林,2017,0.4683,0.5971,0.0086,0.084,0.391752022,0.368495262,0.490929682,0.328379003
四川,2017,0.3875,0.5178,0.0172,0.1245,0.282747027,0.385779501,0.396095847,0.267821003
天津,2017,0.4094,0.8357,0.0247,0.4122,0.235691868,0.588120634,1.921635006,1.840185483
宁夏,2017,0.4358,0.6095,0.0113,0.0992,0.558523946,0.527162305,0.665307585,0.526970399
安徽,2017,0.4752,0.5429,0.0209,0.1354,0.43847254,0.366293474,0.796259296,0.631633313
山东,2017,0.4535,0.6079,0.0241,0.2468,0.343575857,0.524477544,1.004488365,0.86148878
山西,2017,0.4365,0.5859,0.0095,0.0749,0.570845106,0.295347605,0.62745591,0.483191042
广东,2017,0.4237,0.7074,0.0261,0.7599,0.189688731,0.868013692,1.062789731,0.952660724
广西,2017,0.4022,0.5059,0.0077,0.2112,0.42386227,0.326595153,0.414190821,0.286320749
新疆,2017,0.398,0.519,0.0052,0.1279,0.315357467,0.294962747,0.325630715,0.163619033
江苏,2017,0.4502,0.7018,0.0263,0.4658,0.331560618,0.741986713,1.511884306,1.379468372
江西,2017,0.4812,0.557,0.0128,0.1505,0.482443162,0.422931424,0.436895052,0.26976534
河北,2017,0.4658,0.5574,0.0133,0.0993,0.588564846,0.273288833,0.712887605,0.577277178
河南,2017,0.4737,0.5056,0.0131,0.1175,0.36931778,0.33755633,0.780375705,0.628530224
浙江,2017,0.4295,0.6891,0.0245,0.4946,0.148109777,0.5653407,1.248463654,1.102093971
海南,2017,0.2233,0.5804,0.0052,0.1575,0.099196021,0.942179608,0.733063416,0.565635042
湖北,2017,0.4352,0.5988,0.0197,0.0884,0.460921051,0.377823351,0.542765316,0.382145719
湖南,2017,0.4175,0.5462,0.0168,0.0718,0.546988503,0.385803634,0.472199797,0.320556348
